 FlexCache ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LFU LHD LIRS LRU LeCaR QDLP S3-FIFO S4LRU TwoQ WTinyLFU
wiki_2016u.oracleGeneral.zst_2803498585 1.089 1.089 1.044 1.016 0.944 1.014 1.089 1.024 1.062 1.103 1.089 1.000 1.002 1.096 1.097 1.087 1.072 1.110
wiki_2019t.oracleGeneral.zst_207646002 1.180 1.147 1.095 1.027 0.905 1.031 1.153 1.043 0.970 1.169 1.151 1.000 1.006 1.184 1.195 1.157 1.158 1.180
