 FlexCache ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LFU LHD LIRS LRU LeCaR QDLP S3-FIFO S4LRU TwoQ WTinyLFU
wiki_2019t.oracleGeneral.zst_207646002 1.022 1.022 1.011 1.006 0.958 0.999 1.015 1.006 1.007 0.993 1.022 1.000 1.006 1.024 1.022 1.019 1.010 1.021
wiki_2019u.oracleGeneral.zst_2655612611 1.012 1.011 1.004 1.004 0.970 0.998 1.012 1.006 1.007 0.996 1.013 1.000 1.005 1.013 1.013 1.011 1.005 1.015
