 FlexCache ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LFU LHD LIRS LRU LeCaR QDLP S3-FIFO S4LRU TwoQ WTinyLFU
wiki_2016u.oracleGeneral.zst_2803498585 1.142 1.140 1.074 1.019 0.939 1.021 1.122 1.021 1.081 1.153 1.140 1.000 1.004 1.149 1.151 1.132 1.118 1.150
wiki_2019t.oracleGeneral.zst_207646002 1.291 1.240 1.169 1.035 0.903 1.050 1.250 1.048 0.894 1.272 1.242 1.000 1.003 1.298 1.316 1.260 1.269 1.286
