 FlexCache ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LFU LHD LIRS LRU LeCaR QDLP S3-FIFO S4LRU TwoQ WTinyLFU
wiki_2016u.oracleGeneral.zst_2803498585 1.017 1.017 1.006 1.005 0.969 0.999 1.018 1.007 1.013 1.006 1.018 1.000 1.006 1.019 1.019 1.017 1.010 1.021
wiki_2019t.oracleGeneral.zst_207646002 1.050 1.046 1.023 1.011 0.944 1.006 1.037 1.015 1.007 1.027 1.047 1.000 1.015 1.052 1.053 1.044 1.037 1.052
wiki_2019u.oracleGeneral.zst_2655612611 1.027 1.025 1.033 1.007 0.953 1.000 1.031 1.013 1.014 1.012 1.028 1.000 1.009 1.030 1.030 1.026 1.016 1.034
