,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
fiu_webresearch-030409-033109.oracleGeneral.zst_3274061,0.6708,0.6711,0.6562,0.6714,0.6761,0.8161,0.8655,0.7442,0.7602,0.7731,0.8032,0.7289,0.7241,0.6701,0.8219,0.7825,0.6719,0.6722,0.763,0.6834,0.6726
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst_7795815,0.5483,0.5463,0.5305,0.5472,0.5563,0.5829,0.6508,0.6023,0.5705,0.6386,0.5879,0.7224,0.5742,0.5491,0.5895,0.5672,0.5465,0.5476,0.5607,0.5536,0.5848
fiu_ikki-110108-112108.oracleGeneral.zst_5256676,0.7328,0.7341,0.673,0.7342,0.7364,0.7621,0.7828,0.7637,0.7521,0.7665,0.7609,0.8814,0.7527,0.7353,0.7657,0.7594,0.7343,0.7351,0.7504,0.7411,0.7521
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst_14294158,0.6704,0.6692,0.6492,0.6702,0.6811,0.7226,0.7818,0.7322,0.69,0.7555,0.7281,0.786,0.6963,0.6709,0.7332,0.7051,0.6695,0.6706,0.6813,0.6756,0.6969
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst_5700499,0.8217,0.823,0.8046,0.8228,0.8256,0.8563,0.8824,0.8482,0.8336,0.8524,0.8537,0.8611,0.8408,0.824,0.8617,0.8516,0.8228,0.8236,0.8294,0.8256,0.8342
fiu_casa-110108-112108.oracleGeneral.zst_8973201,0.2638,0.2608,0.2351,0.2609,0.2698,0.3024,0.3465,0.2975,0.2944,0.3063,0.3047,0.5554,0.2898,0.262,0.3071,0.2946,0.2604,0.2629,0.2834,0.2729,0.2962
fiu_webusers-030409-033109.oracleGeneral.zst_7726138,0.7583,0.7586,0.7466,0.7585,0.7698,0.835,0.8913,0.8059,0.7943,0.8673,0.8314,0.773,0.8138,0.7582,0.8481,0.8175,0.7584,0.7583,0.7884,0.7628,0.7588
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst_442393092,0.7664,0.781,0.5586,0.7777,0.8134,0.8605,0.8658,0.8407,0.8456,0.8436,0.8576,0.8858,0.7822,0.7561,0.8664,0.8569,0.769,0.7643,0.8202,0.7849,0.823
fiu_madmax-110108-112108.oracleGeneral.zst_918010,0.8551,0.8548,0.8447,0.855,0.8554,0.8814,0.9136,0.8642,0.861,0.8982,0.8777,0.8855,0.8629,0.8545,0.8845,0.8741,0.855,0.8555,0.8622,0.8564,0.8732
fiu_homes-110108-112108.oracleGeneral.zst_17836701,0.4809,0.4794,0.4283,0.4795,0.4819,0.4996,0.5256,0.5023,0.4992,0.5215,0.5059,0.7075,0.4897,0.48,0.5036,0.4948,0.4793,0.4808,0.5019,0.4901,0.5207
