,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst_6928385,0.3111,0.3159,0.2384,0.314,0.3321,0.3808,0.4254,0.41,0.3836,0.4054,0.4164,0.673,0.3461,0.3191,0.382,0.3558,0.3125,0.3123,0.3696,0.3101,0.3255
w94.oracleGeneral.bin.zst_4118188,0.9279,0.9406,0.7422,0.9417,0.94,0.9522,0.953,0.907,0.951,0.9561,0.9472,0.9732,0.9494,0.9545,0.9524,0.9514,0.9428,0.9416,0.9464,0.9409,0.8742
w105.oracleGeneral.bin.zst_3375344,0.8432,0.8433,0.7761,0.8421,0.8421,0.8506,0.8534,0.8472,0.8479,0.8575,0.8499,0.8566,0.8485,0.8465,0.8516,0.8508,0.842,0.8397,0.8489,0.8446,0.8379
w35.oracleGeneral.bin.zst_15415663,0.2365,0.2361,0.1711,0.2336,0.2961,0.3239,0.4559,0.3727,0.2636,0.3681,0.3894,0.5138,0.2823,0.2263,0.345,0.2896,0.2379,0.2354,0.2659,0.2612,0.2229
w19.oracleGeneral.bin.zst_31116216,0.8021,0.8125,0.7122,0.8092,0.8034,0.9217,0.9357,0.9031,0.8704,0.9249,0.926,0.9584,0.8347,0.7836,0.9291,0.9073,0.8037,0.8036,0.9341,0.8341,0.8033
w75.oracleGeneral.bin.zst_6152624,0.25,0.2548,0.2073,0.2533,0.2626,0.2777,0.3014,0.2819,0.2618,0.2803,0.2793,0.4858,0.2628,0.2572,0.2815,0.2698,0.2514,0.2487,0.2661,0.2503,0.2485
w50.oracleGeneral.bin.zst_13448032,0.9579,0.962,0.918,0.962,0.9624,0.9842,0.9872,0.9871,0.9841,0.9781,0.9846,0.9737,0.9641,0.9591,0.9843,0.9843,0.9608,0.9717,0.9735,0.9738,0.9356
w97.oracleGeneral.bin.zst_3768450,0.7102,0.7158,0.6517,0.7142,0.7178,0.744,0.7602,0.7416,0.7174,0.7331,0.7449,0.8689,0.7286,0.7213,0.7477,0.7395,0.7123,0.7068,0.7146,0.706,0.7176
w83.oracleGeneral.bin.zst_3880481,0.4977,0.5108,0.4384,0.5103,0.5111,0.5122,0.5134,0.514,0.5067,0.5051,0.5121,0.7935,0.4991,0.518,0.5103,0.5108,0.5053,0.4968,0.5113,0.4901,0.4792
w81.oracleGeneral.bin.zst_5026619,0.7315,0.7374,0.7144,0.7379,0.7425,0.7527,0.7612,0.7531,0.7467,0.761,0.7514,0.7794,0.7466,0.7397,0.7551,0.7453,0.7321,0.732,0.7357,0.7336,0.7426
w63.oracleGeneral.bin.zst_9380316,0.759,0.7584,0.6754,0.7569,0.7729,0.8049,0.8268,0.8142,0.7925,0.8286,0.7982,0.7931,0.781,0.7624,0.8101,0.8032,0.754,0.7577,0.7606,0.77,0.7743
w86.oracleGeneral.bin.zst_4749563,0.948,0.9481,0.9177,0.9481,0.9491,0.9549,0.9558,0.9538,0.9541,0.9535,0.9543,0.9484,0.9536,0.9514,0.9554,0.9552,0.9477,0.9448,0.9503,0.9542,0.9574
w60.oracleGeneral.bin.zst_9898835,0.8433,0.843,0.7907,0.8429,0.8475,0.8466,0.8499,0.8511,0.8432,0.8498,0.8468,0.8993,0.8474,0.8571,0.8471,0.8466,0.8444,0.843,0.8451,0.8428,0.8619
w30.oracleGeneral.bin.zst_21390010,0.6145,0.6002,0.503,0.5988,0.603,0.7063,0.7943,0.7323,0.7026,0.8025,0.7259,0.9434,0.6661,0.5989,0.7288,0.6956,0.6071,0.6069,0.7121,0.6264,0.8623
w102.oracleGeneral.bin.zst_3558215,0.2332,0.2324,0.1941,0.2312,0.2357,0.2426,0.2672,0.2578,0.2471,0.254,0.2575,0.6957,0.2371,0.2506,0.2433,0.2382,0.2324,0.2331,0.2495,0.2329,0.2808
w78.oracleGeneral.bin.zst_5493106,0.4776,0.4845,0.4059,0.4816,0.4873,0.5005,0.522,0.5187,0.4989,0.5244,0.512,0.6233,0.4966,0.4869,0.502,0.4972,0.4767,0.4767,0.5036,0.49,0.4839
w18.oracleGeneral.bin.zst_22466283,0.6876,0.6895,0.6397,0.689,0.6973,0.7182,0.7362,0.7267,0.7052,0.7222,0.7172,0.7376,0.7052,0.6898,0.7213,0.7124,0.6888,0.6875,0.7024,0.6931,0.6937
w99.oracleGeneral.bin.zst_3660840,0.6703,0.6733,0.6517,0.673,0.6749,0.6821,0.6863,0.6787,0.6807,0.6805,0.6809,0.6854,0.6773,0.6712,0.6832,0.6827,0.6734,0.6653,0.6752,0.6663,0.6634
w03.oracleGeneral.bin.zst_84712978,0.6061,0.6137,0.538,0.6102,0.6133,0.6283,0.6396,0.6316,0.6152,0.6257,0.6245,0.8166,0.5983,0.6337,0.6266,0.6224,0.6095,0.5992,0.6144,0.597,0.6174
w42.oracleGeneral.bin.zst_16894445,0.7852,0.7869,0.7069,0.7867,0.7909,0.8026,0.8089,0.8038,0.7944,0.8107,0.8013,0.9077,0.7966,0.7932,0.8046,0.8031,0.7845,0.7845,0.7872,0.7896,0.8066
w44.oracleGeneral.bin.zst_12116074,0.8996,0.9018,0.8692,0.9008,0.9014,0.9166,0.9231,0.9162,0.9123,0.9178,0.9169,0.9572,0.9113,0.9062,0.9186,0.9168,0.9013,0.8995,0.911,0.9024,0.9241
w98.oracleGeneral.bin.zst_3664418,0.7086,0.7143,0.6474,0.7126,0.7176,0.7427,0.7581,0.7398,0.7148,0.7398,0.7435,0.8743,0.7279,0.7191,0.746,0.7393,0.7106,0.7045,0.713,0.7043,0.7158
w68.oracleGeneral.bin.zst_8875971,0.5362,0.5228,0.4389,0.5214,0.6223,0.6929,0.7158,0.6693,0.665,0.6365,0.6869,0.7442,0.6035,0.5161,0.7002,0.6907,0.5302,0.5222,0.6425,0.5675,0.534
w27.oracleGeneral.bin.zst_19501541,0.7315,0.7406,0.6366,0.7354,0.7467,0.7601,0.7799,0.7709,0.741,0.7975,0.7639,0.9163,0.7454,0.7878,0.7626,0.7577,0.7324,0.7293,0.7434,0.7267,0.817
w101.oracleGeneral.bin.zst_3587707,0.708,0.7128,0.6486,0.7118,0.7141,0.7393,0.7558,0.7374,0.714,0.7239,0.7397,0.8691,0.7257,0.7185,0.7429,0.7338,0.7101,0.7048,0.7132,0.7037,0.7185
