,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst_6928385,0.0906,0.088,0.0732,0.0931,0.0937,0.111,0.0979,0.0867,0.0977,0.093,0.0943,0.089,0.0888,0.0902,0.0884,0.101,0.1004
w94.oracleGeneral.bin.zst_4118188,0.2283,0.2319,0.1919,0.2418,0.2455,0.271,0.2713,0.2393,0.2502,0.2475,0.2394,0.2446,0.2334,0.2392,0.2311,0.2687,0.2454
w105.oracleGeneral.bin.zst_3375344,0.3915,0.4527,0.2546,0.3391,0.5536,0.6381,0.4697,0.5413,0.512,0.4965,0.3065,0.574,0.4306,0.4351,0.3637,0.4474,0.3089
w35.oracleGeneral.bin.zst_15415663,0.0536,0.0512,0.0393,0.0528,0.0512,0.0563,0.0549,0.0538,0.0548,0.0526,0.0524,0.0507,0.0517,0.0527,0.0544,0.0535,0.054
w19.oracleGeneral.bin.zst_31116216,0.0766,0.075,0.0383,0.0676,0.0809,0.0979,0.0857,0.0875,0.0831,0.0753,0.0652,0.0761,0.0748,0.0743,0.0766,0.0779,0.066
w75.oracleGeneral.bin.zst_6152624,0.0738,0.0732,0.066,0.0762,0.0798,0.0944,0.0874,0.0749,0.081,0.0788,0.0759,0.0787,0.074,0.0744,0.0743,0.0887,0.0776
w50.oracleGeneral.bin.zst_13448032,0.1477,0.1662,0.0983,0.1323,0.2089,0.3128,0.2098,0.2009,0.2042,0.1503,0.1183,0.2162,0.1566,0.1585,0.1552,0.1997,0.118
w97.oracleGeneral.bin.zst_3768450,0.5507,0.5478,0.4805,0.5638,0.5318,0.5587,0.555,0.5299,0.5454,0.5384,0.5438,0.5275,0.5479,0.5368,0.5545,0.5478,0.5371
w83.oracleGeneral.bin.zst_3880481,0.3026,0.2959,0.2496,0.3356,0.3388,0.3406,0.3281,0.3251,0.3202,0.3112,0.2853,0.3245,0.3201,0.3405,0.2911,0.3387,0.3134
w81.oracleGeneral.bin.zst_5026619,0.4796,0.5924,0.4431,0.593,0.6884,0.6907,0.6112,0.6728,0.6735,0.5297,0.4562,0.6872,0.5918,0.6564,0.5171,0.6826,0.4578
