,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w33.oracleGeneral.bin.zst_19868346,0.1998,0.2003,0.1706,0.2,0.2021,0.2129,0.2062,0.2,0.2063,0.5726,0.1997,0.2095,0.2014,0.2013,0.2001,0.2,0.2025,0.2001,0.2285
w67.oracleGeneral.bin.zst_9028144,0.226,0.2345,0.2054,0.2408,0.2468,0.2876,0.2575,0.2306,0.2466,0.5272,0.2476,0.2394,0.2477,0.2428,0.2287,0.2258,0.238,0.2247,0.2331
w49.oracleGeneral.bin.zst_11151558,0.6912,0.693,0.6533,0.6929,0.7015,0.7122,0.7018,0.6913,0.6977,0.8475,0.6979,0.7095,0.7031,0.6996,0.693,0.6871,0.6889,0.6865,0.7037
w55.oracleGeneral.bin.zst_8855434,0.8674,0.8683,0.8542,0.8677,0.8705,0.8729,0.8711,0.8688,0.8705,0.8994,0.8702,0.8877,0.871,0.8701,0.8683,0.867,0.8704,0.8674,0.8858
w73.oracleGeneral.bin.zst_6368815,0.6874,0.6888,0.6435,0.6993,0.7236,0.7357,0.7194,0.7093,0.7162,0.7523,0.7177,0.6909,0.7262,0.7201,0.6871,0.6855,0.6973,0.689,0.6979
w89.oracleGeneral.bin.zst_3625918,0.4651,0.4668,0.4258,0.468,0.4742,0.4823,0.4736,0.4698,0.4726,0.7194,0.4713,0.475,0.4747,0.4733,0.4667,0.4682,0.4718,0.467,0.4853
w09.oracleGeneral.bin.zst_49622929,0.5571,0.5688,0.51,0.564,0.5715,0.586,0.5735,0.5562,0.569,0.7954,0.5525,0.6021,0.5713,0.5677,0.5591,0.5563,0.5595,0.5541,0.5912
w45.oracleGeneral.bin.zst_15064629,0.165,0.1649,0.1537,0.1653,0.1719,0.1892,0.1737,0.1688,0.172,0.3033,0.1702,0.1752,0.1725,0.1708,0.1655,0.1664,0.1665,0.1655,0.1851
w90.oracleGeneral.bin.zst_4493515,0.7993,0.802,0.7516,0.8035,0.8157,0.8222,0.8116,0.8102,0.8133,0.842,0.812,0.8048,0.8177,0.8142,0.8028,0.8039,0.8081,0.8067,0.8021
w36.oracleGeneral.bin.zst_18915625,0.1882,0.1887,0.1607,0.1887,0.1907,0.1986,0.1936,0.1893,0.1935,0.5284,0.1876,0.1966,0.19,0.1899,0.1884,0.1883,0.1909,0.1887,0.2151
w05.oracleGeneral.bin.zst_73034546,0.8552,0.8528,0.7973,0.8517,0.8589,0.8681,0.8624,0.8545,0.8596,0.9717,0.8544,0.8987,0.8601,0.8587,0.8555,0.8558,0.8578,0.8559,0.9156
w43.oracleGeneral.bin.zst_15617420,0.8087,0.8131,0.7431,0.8167,0.825,0.8355,0.8271,0.8195,0.8275,0.9146,0.8213,0.8164,0.826,0.8245,0.8106,0.8036,0.823,0.8025,0.8136
w04.oracleGeneral.bin.zst_77764582,0.5015,0.5234,0.437,0.5137,0.5235,0.5384,0.5289,0.4983,0.5242,0.8099,0.4898,0.5667,0.5207,0.5177,0.5051,0.4968,0.5076,0.4964,0.5389
w07.oracleGeneral.bin.zst_67427405,0.7963,0.8253,0.6768,0.8067,0.8254,0.8336,0.819,0.8161,0.826,0.9314,0.801,0.8752,0.8306,0.8008,0.7975,0.7936,0.7921,0.7921,0.8668
w92.oracleGeneral.bin.zst_4284658,0.8591,0.8611,0.8421,0.8617,0.866,0.8677,0.8618,0.8633,0.8635,0.8621,0.8633,0.8616,0.8664,0.8659,0.8589,0.856,0.8608,0.8566,0.8589
w74.oracleGeneral.bin.zst_6343762,0.2211,0.2263,0.196,0.2297,0.2364,0.2771,0.2457,0.2255,0.2354,0.5442,0.2323,0.2329,0.2379,0.233,0.2226,0.221,0.2302,0.2199,0.2256
w11.oracleGeneral.bin.zst_46173369,0.9484,0.9501,0.8061,0.9513,0.9698,0.9746,0.9639,0.9629,0.9704,0.9898,0.96,0.9487,0.9718,0.9713,0.9487,0.9494,0.9614,0.9558,0.9637
w29.oracleGeneral.bin.zst_19087784,0.7846,0.7937,0.6575,0.7915,0.8191,0.8304,0.8232,0.7995,0.8232,0.9762,0.8104,0.8215,0.8206,0.819,0.7844,0.7744,0.8079,0.772,0.8488
w69.oracleGeneral.bin.zst_7874006,0.7649,0.7734,0.6594,0.7892,0.8194,0.8298,0.8076,0.8069,0.8142,0.8314,0.7991,0.773,0.8222,0.8198,0.7686,0.7612,0.7933,0.7758,0.7473
w95.oracleGeneral.bin.zst_3937240,0.4554,0.4607,0.3758,0.4644,0.4778,0.4965,0.4815,0.4652,0.4771,0.6635,0.4738,0.4697,0.4798,0.4743,0.4571,0.4552,0.4728,0.4564,0.4992
w82.oracleGeneral.bin.zst_4926610,0.6419,0.6423,0.5622,0.6857,0.711,0.7432,0.6915,0.6636,0.7039,0.742,0.6691,0.6433,0.7211,0.6997,0.6403,0.6324,0.6625,0.6487,0.654
w48.oracleGeneral.bin.zst_14097008,0.9282,0.9269,0.8845,0.93,0.9518,0.9579,0.9455,0.946,0.9482,0.9538,0.9315,0.934,0.9528,0.9477,0.9307,0.9311,0.9651,0.9461,0.9316
w47.oracleGeneral.bin.zst_14314717,0.1516,0.1511,0.1415,0.1516,0.157,0.1741,0.1585,0.1546,0.1571,0.2961,0.1559,0.1619,0.1574,0.1564,0.1517,0.1529,0.1523,0.1512,0.1708
w61.oracleGeneral.bin.zst_9884691,0.9328,0.9299,0.7876,0.9371,0.9449,0.9464,0.9379,0.9387,0.9429,0.9672,0.9404,0.9378,0.9454,0.9447,0.9327,0.9342,0.9425,0.9374,0.9419
w56.oracleGeneral.bin.zst_10899629,0.4089,0.4458,0.2976,0.4561,0.4915,0.5218,0.5238,0.4219,0.5075,0.7179,0.4632,0.4509,0.4823,0.4775,0.4142,0.4001,0.4831,0.3861,0.3848
w77.oracleGeneral.bin.zst_5616402,0.5931,0.593,0.5433,0.5931,0.5972,0.6072,0.5998,0.591,0.596,0.8265,0.5942,0.6327,0.5964,0.5963,0.595,0.5921,0.5956,0.5888,0.6355
w57.oracleGeneral.bin.zst_10554725,0.4169,0.4514,0.3293,0.4636,0.4997,0.5314,0.5281,0.4242,0.5147,0.7156,0.4761,0.4571,0.4938,0.4868,0.4228,0.4112,0.4771,0.3999,0.4042
w104.oracleGeneral.bin.zst_3395553,0.9558,0.9559,0.8726,0.9576,0.9565,0.9565,0.9544,0.9562,0.9553,0.97,0.9582,0.9623,0.9564,0.9564,0.9557,0.9537,0.956,0.957,0.9543
w96.oracleGeneral.bin.zst_3787344,0.8605,0.8651,0.75,0.8668,0.8881,0.902,0.8862,0.8782,0.8872,0.9138,0.8849,0.8681,0.8913,0.8844,0.8625,0.8619,0.8777,0.8677,0.8752
w01.oracleGeneral.bin.zst_215796257,0.8499,0.839,0.8231,0.8384,0.8386,0.8422,0.8426,0.8387,0.8388,0.989,0.8389,0.8813,0.8393,0.8389,0.8504,0.8487,0.8415,0.8499,0.9536
w53.oracleGeneral.bin.zst_8973978,0.7189,0.72,0.6809,0.7201,0.7238,0.7286,0.7254,0.72,0.7236,0.8732,0.7207,0.7268,0.723,0.7221,0.7204,0.7143,0.7227,0.7135,0.7279
w12.oracleGeneral.bin.zst_45355529,0.0859,0.0868,0.0717,0.0866,0.09,0.1,0.0947,0.1046,0.0986,0.6698,0.0873,0.0917,0.0908,0.0891,0.086,0.0866,0.089,0.0869,0.0994
