,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w63.oracleGeneral.bin.zst_9380316,0.5745,0.5784,0.5115,0.5786,0.5985,0.5892,0.6201,0.5992,0.586,0.5938,0.5937,0.579,0.5836,0.586,0.59,0.5895,0.5779,0.596,0.577,0.6133,0.5938
w86.oracleGeneral.bin.zst_4749563,0.9101,0.9176,0.9065,0.9176,0.9204,0.9255,0.9279,0.9255,0.9249,0.9252,0.9256,0.9176,0.9266,0.9102,0.9262,0.9262,0.9175,0.9213,0.9135,0.9273,0.9109
w60.oracleGeneral.bin.zst_9898835,0.6332,0.6877,0.5625,0.6884,0.7017,0.7847,0.792,0.7583,0.765,0.7066,0.7743,0.7152,0.6944,0.6201,0.7895,0.7889,0.6651,0.6853,0.6743,0.7282,0.6438
w30.oracleGeneral.bin.zst_21390010,0.1496,0.1431,0.0729,0.1433,0.1372,0.1398,0.172,0.1687,0.1829,0.1789,0.1902,0.6084,0.1378,0.1446,0.1425,0.1357,0.1356,0.1385,0.1354,0.1461,0.1818
w102.oracleGeneral.bin.zst_3558215,0.145,0.1451,0.0967,0.1445,0.1901,0.1591,0.1707,0.1723,0.171,0.1539,0.1751,0.4303,0.1393,0.1349,0.1565,0.1522,0.1432,0.1421,0.157,0.1332,0.1265
w78.oracleGeneral.bin.zst_5493106,0.3128,0.3183,0.1992,0.3147,0.3081,0.3226,0.3276,0.3211,0.3223,0.3094,0.3253,0.3203,0.3098,0.2843,0.3316,0.3251,0.304,0.2984,0.2859,0.3084,0.2801
w18.oracleGeneral.bin.zst_22466283,0.4791,0.5402,0.3894,0.5416,0.5433,0.6039,0.6019,0.5588,0.5886,0.5377,0.588,0.5641,0.5465,0.4832,0.6048,0.6022,0.4974,0.4971,0.5029,0.5111,0.498
w99.oracleGeneral.bin.zst_3660840,0.5443,0.6052,0.5151,0.6053,0.6004,0.6435,0.6442,0.6306,0.6348,0.6147,0.6399,0.6065,0.6152,0.5339,0.6437,0.639,0.5995,0.6242,0.5603,0.6385,0.5444
w03.oracleGeneral.bin.zst_84712978,0.4408,0.433,0.3288,0.4363,0.4857,0.5076,0.5022,0.4815,0.4927,0.4777,0.4908,0.6012,0.42,0.4412,0.5012,0.5,0.4358,0.4001,0.4766,0.4269,0.3823
w42.oracleGeneral.bin.zst_16894445,0.5349,0.5422,0.4429,0.5432,0.5822,0.6401,0.6523,0.6278,0.6132,0.6096,0.6341,0.5906,0.6157,0.5294,0.6419,0.6415,0.5414,0.5628,0.5556,0.5975,0.5517
w44.oracleGeneral.bin.zst_12116074,0.7596,0.8316,0.6798,0.8319,0.8304,0.868,0.8744,0.8515,0.8641,0.8003,0.863,0.8342,0.803,0.755,0.8689,0.8688,0.8295,0.8491,0.777,0.8624,0.778
w98.oracleGeneral.bin.zst_3664418,0.5901,0.6183,0.4763,0.6204,0.6071,0.6327,0.6532,0.6165,0.6278,0.6063,0.6272,0.6239,0.5974,0.5832,0.6372,0.6366,0.6014,0.6051,0.6169,0.6196,0.5757
w68.oracleGeneral.bin.zst_8875971,0.1353,0.1375,0.1054,0.1377,0.1569,0.1617,0.2058,0.173,0.1568,0.1599,0.1626,0.1489,0.1551,0.1349,0.1673,0.1639,0.1372,0.1406,0.1453,0.1544,0.1428
w27.oracleGeneral.bin.zst_19501541,0.4222,0.4435,0.2738,0.458,0.4421,0.4362,0.4659,0.4333,0.452,0.4482,0.4544,0.7658,0.4399,0.4183,0.4353,0.4254,0.4539,0.461,0.4385,0.4797,0.4585
