,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst_6928385,0.1722,0.1738,0.113,0.1797,0.1772,0.1976,0.1956,0.1785,0.1877,0.1673,0.1838,0.1737,0.1741,0.1748,0.1846,0.1674,0.1722
w94.oracleGeneral.bin.zst_4118188,0.4309,0.4432,0.3127,0.4384,0.4695,0.4941,0.4745,0.4276,0.4568,0.459,0.4441,0.4542,0.4266,0.4094,0.5364,0.422,0.4392
w105.oracleGeneral.bin.zst_3375344,0.6242,0.6422,0.5437,0.6411,0.7394,0.7586,0.7476,0.7238,0.7488,0.7285,0.6284,0.7406,0.631,0.6357,0.6476,0.6704,0.635
w35.oracleGeneral.bin.zst_15415663,0.0772,0.077,0.0557,0.0797,0.0831,0.1027,0.0908,0.084,0.087,0.0791,0.08,0.0819,0.0763,0.0771,0.0821,0.0801,0.0836
w19.oracleGeneral.bin.zst_31116216,0.1704,0.1683,0.1204,0.2103,0.2262,0.3127,0.2944,0.1898,0.2361,0.1958,0.1667,0.2057,0.1687,0.1686,0.1944,0.1946,0.1692
w75.oracleGeneral.bin.zst_6152624,0.1448,0.1435,0.101,0.1501,0.1592,0.178,0.1698,0.1548,0.1658,0.1566,0.1418,0.1551,0.1438,0.1433,0.1502,0.147,0.1406
w50.oracleGeneral.bin.zst_13448032,0.5665,0.9264,0.3522,0.4003,0.9742,0.9801,0.7308,0.9399,0.8656,0.5011,0.4058,0.9793,0.5523,0.551,0.5451,0.6768,0.4677
w97.oracleGeneral.bin.zst_3768450,0.6276,0.6459,0.5118,0.6498,0.6728,0.6887,0.67,0.665,0.6716,0.6491,0.6258,0.6749,0.6436,0.6517,0.6517,0.6624,0.6157
w83.oracleGeneral.bin.zst_3880481,0.4162,0.4202,0.3253,0.4202,0.4264,0.4316,0.4419,0.4234,0.4338,0.4136,0.4273,0.4207,0.4216,0.4161,0.4373,0.4068,0.4114
w81.oracleGeneral.bin.zst_5026619,0.6733,0.6876,0.6277,0.6778,0.7209,0.7237,0.7206,0.7107,0.7145,0.6928,0.6688,0.7192,0.6796,0.6852,0.6699,0.6987,0.6642
w63.oracleGeneral.bin.zst_9380316,0.5948,0.6141,0.5318,0.6113,0.6455,0.684,0.6571,0.634,0.645,0.6281,0.6054,0.6508,0.5957,0.6074,0.5961,0.6479,0.6191
w86.oracleGeneral.bin.zst_4749563,0.9121,0.9218,0.9065,0.9225,0.9314,0.933,0.9303,0.9306,0.9309,0.9312,0.9126,0.9323,0.9215,0.9258,0.9136,0.9317,0.9137
w60.oracleGeneral.bin.zst_9898835,0.7238,0.7312,0.6492,0.7658,0.8088,0.8119,0.8028,0.7986,0.8034,0.7683,0.716,0.8102,0.728,0.7493,0.7383,0.7824,0.7414
w30.oracleGeneral.bin.zst_21390010,0.2537,0.2469,0.1322,0.2459,0.2384,0.3004,0.2855,0.3153,0.2995,0.2413,0.2515,0.2392,0.2473,0.2492,0.2857,0.2539,0.3046
w102.oracleGeneral.bin.zst_3558215,0.1801,0.1811,0.1206,0.1871,0.1943,0.1995,0.2021,0.1999,0.1989,0.1767,0.1847,0.1919,0.181,0.1761,0.1974,0.1678,0.1894
w78.oracleGeneral.bin.zst_5493106,0.3517,0.3453,0.2616,0.3572,0.3729,0.3888,0.3835,0.362,0.3697,0.365,0.348,0.3719,0.3491,0.347,0.3574,0.3563,0.3594
w18.oracleGeneral.bin.zst_22466283,0.5426,0.5851,0.4802,0.5798,0.6341,0.6422,0.63,0.6214,0.6285,0.6218,0.5479,0.6312,0.5834,0.5944,0.5573,0.6154,0.56
w99.oracleGeneral.bin.zst_3660840,0.6042,0.6095,0.5748,0.6181,0.6459,0.647,0.6527,0.6441,0.6459,0.6398,0.5966,0.6363,0.6077,0.6294,0.6121,0.6425,0.6054
w03.oracleGeneral.bin.zst_84712978,0.5232,0.5399,0.3787,0.542,0.5548,0.5571,0.5492,0.5441,0.5479,0.489,0.5365,0.551,0.5269,0.4932,0.515,0.5111,0.4731
w42.oracleGeneral.bin.zst_16894445,0.6415,0.6434,0.5318,0.6673,0.6935,0.7029,0.7002,0.678,0.69,0.6821,0.6437,0.695,0.6397,0.6349,0.6495,0.6478,0.6535
w44.oracleGeneral.bin.zst_12116074,0.8332,0.841,0.7702,0.8273,0.8801,0.8855,0.883,0.8756,0.879,0.8623,0.8318,0.8814,0.838,0.8554,0.855,0.867,0.862
w98.oracleGeneral.bin.zst_3664418,0.6221,0.6399,0.5058,0.6452,0.6684,0.6844,0.6653,0.6605,0.6676,0.652,0.6191,0.6711,0.6376,0.6461,0.6513,0.6571,0.6109
w68.oracleGeneral.bin.zst_8875971,0.1753,0.1717,0.1389,0.1805,0.1972,0.2692,0.2367,0.1847,0.2043,0.1859,0.172,0.1922,0.1755,0.1736,0.1785,0.1803,0.1782
w27.oracleGeneral.bin.zst_19501541,0.5377,0.5423,0.3824,0.5595,0.5774,0.598,0.5627,0.5638,0.5737,0.5797,0.5226,0.574,0.5483,0.553,0.5463,0.5625,0.5939
w101.oracleGeneral.bin.zst_3587707,0.6232,0.6426,0.5165,0.6454,0.6706,0.6848,0.6673,0.6624,0.6684,0.6522,0.6231,0.6725,0.6403,0.6489,0.6502,0.6613,0.6137
w28.oracleGeneral.bin.zst_19739621,0.4258,0.4118,0.3261,0.4116,0.4541,0.4825,0.4919,0.4463,0.4649,0.4626,0.439,0.4094,0.4206,0.4344,0.4413,0.4456,0.5022
w23.oracleGeneral.bin.zst_27914470,0.4468,0.4425,0.3049,0.4726,0.5144,0.5565,0.5171,0.4653,0.5217,0.4608,0.4435,0.5202,0.4334,0.4304,0.4628,0.4463,0.4261
w54.oracleGeneral.bin.zst_8832954,0.8441,0.8427,0.8314,0.8433,0.8476,0.8599,0.8523,0.8431,0.8434,0.8468,0.8447,0.8512,0.8425,0.8432,0.8449,0.8466,0.845
w13.oracleGeneral.bin.zst_39822877,0.2745,0.2883,0.2086,0.2868,0.2938,0.3015,0.291,0.277,0.2826,0.287,0.3141,0.2899,0.2709,0.2718,0.274,0.2744,0.3176
w22.oracleGeneral.bin.zst_22248591,0.7904,0.8683,0.769,0.8689,0.8812,0.8833,0.8798,0.8765,0.8799,0.8391,0.7812,0.8818,0.8678,0.8726,0.8072,0.878,0.7954
w51.oracleGeneral.bin.zst_9551283,0.2201,0.2136,0.1879,0.2172,0.2358,0.3053,0.2799,0.2316,0.2835,0.2522,0.2112,0.2334,0.2171,0.225,0.239,0.236,0.2154
w84.oracleGeneral.bin.zst_4814234,0.2819,0.2939,0.2127,0.3048,0.3193,0.3397,0.3259,0.3022,0.3252,0.2927,0.2923,0.3133,0.2846,0.2803,0.2987,0.2865,0.2696
w37.oracleGeneral.bin.zst_18840688,0.5019,0.5066,0.4078,0.5909,0.6235,0.6593,0.591,0.5639,0.6029,0.5572,0.4968,0.6289,0.5031,0.5127,0.5177,0.5374,0.4812
w87.oracleGeneral.bin.zst_3788806,0.6816,0.6866,0.6116,0.6966,0.7256,0.7432,0.734,0.7116,0.727,0.72,0.6809,0.7304,0.6845,0.6969,0.6947,0.7181,0.6977
w34.oracleGeneral.bin.zst_19553551,0.4036,0.4163,0.3036,0.4166,0.4221,0.4669,0.4422,0.4183,0.4216,0.4316,0.4302,0.4256,0.4056,0.4126,0.4031,0.427,0.4521
w66.oracleGeneral.bin.zst_9169631,0.3767,0.3838,0.3113,0.4185,0.4812,0.4914,0.4473,0.4441,0.4651,0.4111,0.3649,0.4372,0.3867,0.389,0.3957,0.4175,0.3677
w06.oracleGeneral.bin.zst_69392150,0.0603,0.0611,0.037,0.0618,0.0628,0.0826,0.0764,0.0645,0.0714,0.0627,0.0592,0.0588,0.0583,0.0594,0.0584,0.066,0.1036
