,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
msr_proj_2.oracleGeneral.zst_29266482,0.8777,0.8686,0.79,0.8722,0.8754,0.879,0.8913,0.8982,0.8734,0.8976,0.8834,0.8845,0.8929,0.8869,0.8828,0.8794,0.8742,0.8764,0.8799,0.8805,0.9186
msr_proj_1.oracleGeneral.zst_23639742,0.7861,0.806,0.7108,0.7964,0.8133,0.8132,0.8289,0.8097,0.8111,0.81,0.8162,0.7914,0.8306,0.7873,0.8235,0.7887,0.7868,0.7952,0.8099,0.8122,0.8257
msr_prxy_0.oracleGeneral.zst_12518968,0.0725,0.0742,0.0545,0.0735,0.0789,0.0832,0.123,0.0961,0.0732,0.1056,0.0823,0.1055,0.0757,0.0739,0.0853,0.0811,0.0719,0.0718,0.0745,0.0726,0.0707
msr_prxy_1.oracleGeneral.zst_168638964,0.0829,0.0807,0.0249,0.0815,0.2277,0.2216,0.211,0.0729,0.0859,0.0985,0.1826,0.1163,0.0353,0.0339,0.2373,0.196,0.0912,0.0903,0.0901,0.1316,0.0408
msr_prn_0.oracleGeneral.zst_5585886,0.2803,0.2893,0.2149,0.2895,0.2905,0.2988,0.3039,0.2959,0.2882,0.2943,0.3001,0.5329,0.2863,0.2968,0.2961,0.2939,0.2839,0.2845,0.2962,0.2726,0.2726
msr_usr_1.oracleGeneral.zst_45283980,0.4325,0.4391,0.3987,0.4363,0.4567,0.4711,0.4742,0.4716,0.4591,0.4616,0.4677,0.4425,0.4563,0.4329,0.4733,0.4722,0.4343,0.4424,0.4387,0.4524,0.4323
msr_prn_1.oracleGeneral.zst_11233411,0.5516,0.5816,0.4412,0.5782,0.5986,0.6254,0.6388,0.6167,0.5968,0.6325,0.6257,0.6658,0.5732,0.5973,0.6248,0.6019,0.5571,0.5279,0.5903,0.5361,0.5447
msr_proj_0.oracleGeneral.zst_4224524,0.3776,0.3811,0.2599,0.3802,0.3832,0.3939,0.4253,0.4083,0.3913,0.4633,0.3979,0.6992,0.3884,0.3849,0.3977,0.3948,0.3774,0.3771,0.3863,0.3792,0.3958
msr_src1_1.oracleGeneral.zst_45746222,0.9094,0.8968,0.7714,0.8938,0.898,0.8927,0.8914,0.8956,0.8904,0.9258,0.8919,0.9066,0.8904,0.9428,0.8913,0.8908,0.908,0.9014,0.8932,0.8948,0.9112
msr_hm_0.oracleGeneral.zst_3993316,0.3522,0.3558,0.2838,0.355,0.3669,0.3829,0.4022,0.3852,0.3735,0.388,0.3841,0.403,0.3742,0.3587,0.3874,0.3826,0.3509,0.3508,0.3717,0.3625,0.3579
msr_src1_0.oracleGeneral.zst_37415613,0.9114,0.9162,0.8599,0.9112,0.929,0.9349,0.94,0.9418,0.9348,0.9477,0.937,0.8995,0.9257,0.9176,0.9374,0.9366,0.9088,0.9105,0.9125,0.9139,0.9234
msr_web_2.oracleGeneral.zst_5175368,0.9618,0.9961,0.9489,0.9961,0.9961,0.9961,0.9962,0.9954,0.9961,0.9897,0.9959,0.9961,0.9921,0.9581,0.9961,0.9961,0.9818,0.9818,0.9674,0.9961,0.9643
msr_proj_4.oracleGeneral.zst_6465639,0.8817,0.8837,0.7709,0.8822,0.8948,0.9217,0.9268,0.9175,0.9275,0.9158,0.9261,0.9054,0.92,0.8805,0.923,0.9168,0.8803,0.882,0.9078,0.8909,0.8743
msr_usr_2.oracleGeneral.zst_10570046,0.7472,0.7753,0.7119,0.7772,0.7723,0.7958,0.8033,0.8003,0.7931,0.8061,0.7939,0.7813,0.7872,0.7465,0.7986,0.7932,0.7617,0.7664,0.7526,0.7686,0.7644
