 accp4 accp4c accp4p
1 0.062 0.633 0.698
2 0.069 0.874 0.701
3 0.078 0.893 0.707
4 0.080 0.916 0.754
5 0.084 0.917 0.769
6 0.086 0.917 0.777
7 0.086 0.936 0.784
8 0.087 0.937 0.786
9 0.088 0.939 0.798
10 0.096 0.947 0.798
11 0.112 0.952 0.826
12 0.115 0.961 0.836
13 0.116 0.963 0.841
14 0.121 0.963 0.842
15 0.121 0.965 0.847
16 0.124 0.965 0.847
17 0.128 0.965 0.848
18 0.128 0.968 0.849
19 0.130 0.968 0.865
20 0.131 0.970 0.871
21 0.132 0.971 0.877
22 0.137 0.973 0.880
23 0.138 0.973 0.885
24 0.138 0.974 0.886
25 0.138 0.974 0.893
26 0.142 0.974 0.898
27 0.143 0.976 0.903
28 0.148 0.976 0.905
29 0.151 0.977 0.909
30 0.156 0.978 0.911
31 0.159 0.978 0.911
32 0.161 0.978 0.913
33 0.161 0.979 0.914
34 0.162 0.979 0.916
35 0.162 0.979 0.917
36 0.164 0.980 0.917
37 0.164 0.980 0.917
38 0.164 0.980 0.918
39 0.165 0.981 0.919
40 0.166 0.981 0.920
41 0.167 0.982 0.921
42 0.170 0.982 0.921
43 0.172 0.982 0.923
44 0.173 0.982 0.926
45 0.173 0.984 0.927
46 0.177 0.984 0.927
47 0.177 0.984 0.928
48 0.177 0.985 0.931
49 0.178 0.985 0.934
50 0.178 0.985 0.935
51 0.178 0.987 0.936
52 0.182 0.987 0.938
53 0.182 0.988 0.942
54 0.183 0.988 0.943
55 0.189 0.988 0.944
56 0.195 0.988 0.944
57 0.196 0.989 0.944
58 0.201 0.989 0.945
59 0.202 0.990 0.945
60 0.203 0.990 0.947
61 0.203 0.990 0.948
62 0.203 0.990 0.949
63 0.206 0.990 0.950
64 0.210 0.990 0.950
65 0.212 0.991 0.950
66 0.212 0.991 0.955
67 0.213 0.991 0.955
68 0.216 0.992 0.955
69 0.217 0.992 0.955
70 0.217 0.992 0.956
71 0.218 0.992 0.957
72 0.220 0.992 0.958
73 0.220 0.992 0.958
74 0.222 0.992 0.958
75 0.224 0.993 0.958
76 0.224 0.993 0.959
77 0.227 0.993 0.960
78 0.233 0.993 0.960
79 0.236 0.993 0.962
80 0.240 0.993 0.964
81 0.240 0.994 0.964
82 0.241 0.994 0.964
83 0.241 0.994 0.965
84 0.242 0.994 0.966
85 0.244 0.994 0.967
86 0.245 0.994 0.968
87 0.246 0.994 0.968
88 0.247 0.995 0.968
89 0.248 0.995 0.969
90 0.249 0.995 0.970
91 0.250 0.995 0.970
92 0.250 0.995 0.970
93 0.253 0.995 0.970
94 0.255 0.995 0.971
95 0.255 0.995 0.971
96 0.256 0.995 0.972
97 0.257 0.995 0.972
98 0.257 0.995 0.973
99 0.257 0.996 0.974
100 0.257 0.996 0.975
101 0.261 0.996 0.975
102 0.261 0.996 0.975
103 0.262 0.996 0.976
104 0.262 0.996 0.977
105 0.262 0.996 0.977
106 0.263 0.996 0.977
107 0.264 0.996 0.977
108 0.264 0.996 0.978
109 0.265 0.996 0.978
110 0.265 0.996 0.979
111 0.267 0.996 0.979
112 0.268 0.996 0.979
113 0.268 0.996 0.979
114 0.271 0.996 0.980
115 0.271 0.996 0.980
116 0.272 0.996 0.981
117 0.272 0.996 0.981
118 0.272 0.997 0.981
119 0.274 0.997 0.983
120 0.274 0.997 0.983
121 0.277 0.997 0.984
122 0.278 0.997 0.984
123 0.278 0.997 0.984
124 0.278 0.997 0.984
125 0.279 0.997 0.984
126 0.279 0.997 0.985
127 0.281 0.997 0.985
128 0.282 0.997 0.985
129 0.283 0.997 0.985
130 0.284 0.997 0.985
131 0.284 0.997 0.985
132 0.285 0.997 0.985
133 0.286 0.997 0.986
134 0.287 0.997 0.986
135 0.287 0.997 0.986
136 0.288 0.997 0.986
137 0.288 0.997 0.986
138 0.288 0.997 0.986
139 0.289 0.997 0.986
140 0.290 0.997 0.986
141 0.290 0.997 0.986
142 0.291 0.997 0.987
143 0.292 0.997 0.987
144 0.292 0.997 0.987
145 0.292 0.997 0.987
146 0.293 0.997 0.987
147 0.293 0.998 0.987
148 0.295 0.998 0.987
149 0.295 0.998 0.987
150 0.296 0.998 0.988
151 0.296 0.998 0.988
152 0.296 0.998 0.988
153 0.297 0.998 0.988
154 0.298 0.998 0.988
155 0.298 0.998 0.988
