 accp4 accp4c accp4p
1 0.086 0.618 0.850
2 0.133 0.884 0.883
3 0.141 0.933 0.892
4 0.161 0.956 0.893
5 0.189 0.959 0.899
6 0.201 0.963 0.905
7 0.290 0.964 0.915
8 0.324 0.980 0.948
9 0.365 0.982 0.951
10 0.401 0.983 0.952
11 0.403 0.989 0.953
12 0.407 0.990 0.960
13 0.411 0.992 0.961
14 0.412 0.993 0.966
15 0.451 0.993 0.967
16 0.457 0.993 0.969
17 0.458 0.996 0.973
18 0.463 0.996 0.975
19 0.467 0.996 0.978
20 0.472 0.997 0.982
21 0.493 0.997 0.982
22 0.503 0.997 0.983
23 0.521 0.997 0.984
24 0.533 0.997 0.985
25 0.554 0.998 0.985
26 0.557 0.999 0.985
27 0.561 0.999 0.985
28 0.563 0.999 0.988
29 0.567 0.999 0.988
30 0.587 0.999 0.989
31 0.593 0.999 0.989
32 0.595 1.000 0.991
33 0.627 1.000 0.992
34 0.649 1.000 0.992
35 0.654 1.000 0.992
36 0.683 1.000 0.993
37 0.687 1.000 0.993
38 0.689 1.000 0.993
39 0.692 1.000 0.994
40 0.706 1.000 0.994
41 0.719 1.000 0.994
42 0.721 1.000 0.994
43 0.731 1.000 0.994
44 0.734 1.000 0.994
45 0.734 1.000 0.995
46 0.734 1.000 0.996
47 0.740 1.000 0.996
48 0.749 1.001 0.996
49 0.751 1.001 0.996
50 0.759 1.001 0.996
51 0.762 1.001 0.996
52 0.765 1.001 0.997
53 0.765 1.001 0.997
54 0.796 1.001 0.998
55 0.796 1.001 0.998
56 0.799 1.002 0.998
57 0.799 1.002 0.999
58 0.805 1.002 0.999
59 0.809 1.002 0.999
60 0.810 1.002 1.000
61 0.812 1.002 1.000
62 0.827 1.002 1.000
63 0.832 1.002 1.000
64 0.844 1.002 1.000
65 0.855 1.002 1.000
66 0.857 1.003 1.000
67 0.857 1.003 1.000
68 0.858 1.003 1.000
69 0.859 1.003 1.000
70 0.861 1.004 1.000
71 0.861 1.004 1.000
72 0.862 1.004 1.000
73 0.864 1.005 1.000
74 0.866 1.005 1.000
75 0.869 1.005 1.000
76 0.874 1.006 1.001
77 0.884 1.006 1.001
78 0.885 1.006 1.001
79 0.888 1.006 1.001
80 0.908 1.007 1.002
81 0.916 1.007 1.002
82 0.920 1.008 1.002
83 0.921 1.008 1.003
84 0.922 1.008 1.003
85 0.924 1.008 1.004
86 0.927 1.008 1.004
87 0.929 1.008 1.004
88 0.931 1.010 1.005
89 0.948 1.010 1.006
90 0.952 1.013 1.007
91 0.955 1.013 1.007
92 0.955 1.015 1.007
93 0.960 1.015 1.007
94 0.963 1.017 1.011
95 0.970 1.017 1.020
96 0.975 1.025 1.025
97 0.975 1.028 1.030
98 0.982 1.028 1.041
99 0.991 1.041 1.045
100 1.000 1.046 1.057
101 1.000 1.065 1.070
102 1.000 1.069 1.070
103 1.000 1.080 1.070
104 1.000 1.125 1.118
105 1.000 1.146 1.152
106 1.000 1.250 1.276
