 accp4 accp4c accp4p
1 0.001 0.960 0.761
2 0.012 0.970 0.783
3 0.016 0.974 0.802
4 0.019 0.975 0.824
5 0.024 0.976 0.832
6 0.027 0.976 0.838
7 0.027 0.976 0.842
8 0.031 0.976 0.892
9 0.032 0.976 0.898
10 0.032 0.976 0.899
11 0.033 0.976 0.902
12 0.033 0.977 0.905
13 0.034 0.977 0.906
14 0.035 0.977 0.906
15 0.035 0.978 0.907
16 0.036 0.979 0.911
17 0.037 0.979 0.915
18 0.038 0.979 0.916
19 0.038 0.979 0.917
20 0.039 0.979 0.918
21 0.040 0.980 0.920
22 0.040 0.980 0.921
23 0.042 0.981 0.922
24 0.042 0.981 0.923
25 0.044 0.982 0.924
26 0.047 0.982 0.930
27 0.049 0.982 0.931
28 0.050 0.983 0.937
29 0.052 0.983 0.937
30 0.053 0.983 0.937
31 0.053 0.983 0.938
32 0.054 0.983 0.938
33 0.054 0.984 0.938
34 0.055 0.984 0.939
35 0.055 0.984 0.943
36 0.056 0.984 0.944
37 0.056 0.984 0.944
38 0.057 0.984 0.946
39 0.057 0.985 0.947
40 0.057 0.985 0.947
41 0.057 0.985 0.948
42 0.058 0.986 0.948
43 0.058 0.986 0.948
44 0.059 0.986 0.949
45 0.059 0.986 0.949
46 0.059 0.986 0.950
47 0.059 0.986 0.950
48 0.060 0.986 0.954
49 0.060 0.986 0.954
50 0.060 0.986 0.954
51 0.060 0.986 0.955
52 0.060 0.986 0.956
53 0.060 0.987 0.957
54 0.061 0.987 0.957
55 0.061 0.987 0.958
56 0.061 0.987 0.958
57 0.062 0.987 0.959
58 0.062 0.988 0.959
59 0.062 0.988 0.960
60 0.062 0.988 0.961
61 0.062 0.988 0.962
62 0.062 0.988 0.963
63 0.062 0.988 0.963
64 0.063 0.988 0.964
65 0.063 0.988 0.964
66 0.063 0.988 0.965
67 0.064 0.988 0.965
68 0.064 0.988 0.966
69 0.065 0.988 0.966
70 0.065 0.988 0.966
71 0.065 0.989 0.967
72 0.066 0.989 0.967
73 0.066 0.989 0.967
74 0.066 0.989 0.967
75 0.067 0.989 0.967
76 0.067 0.989 0.968
77 0.067 0.989 0.968
78 0.067 0.989 0.968
79 0.067 0.989 0.968
80 0.067 0.989 0.968
81 0.067 0.989 0.968
82 0.068 0.989 0.969
83 0.068 0.989 0.969
84 0.068 0.989 0.970
85 0.068 0.989 0.972
86 0.068 0.989 0.972
87 0.068 0.990 0.972
88 0.069 0.990 0.972
89 0.070 0.990 0.973
90 0.070 0.990 0.973
91 0.070 0.990 0.973
92 0.070 0.990 0.973
93 0.070 0.990 0.973
94 0.071 0.990 0.973
95 0.072 0.990 0.973
96 0.072 0.990 0.973
97 0.073 0.990 0.974
98 0.073 0.990 0.974
99 0.073 0.990 0.974
100 0.073 0.990 0.974
101 0.074 0.990 0.974
102 0.074 0.990 0.974
103 0.075 0.990 0.974
104 0.075 0.990 0.974
105 0.076 0.991 0.974
106 0.076 0.991 0.975
107 0.076 0.991 0.975
108 0.078 0.991 0.975
109 0.078 0.991 0.975
110 0.079 0.991 0.975
111 0.079 0.991 0.975
112 0.079 0.991 0.975
113 0.079 0.991 0.975
114 0.080 0.991 0.975
115 0.080 0.991 0.975
116 0.080 0.991 0.975
117 0.080 0.991 0.975
118 0.080 0.991 0.975
119 0.080 0.991 0.975
120 0.080 0.991 0.975
121 0.080 0.991 0.975
122 0.080 0.991 0.976
123 0.081 0.991 0.976
124 0.081 0.991 0.976
125 0.081 0.991 0.976
126 0.081 0.991 0.976
127 0.081 0.991 0.976
128 0.081 0.991 0.976
129 0.081 0.992 0.976
130 0.081 0.992 0.976
131 0.082 0.992 0.976
132 0.082 0.992 0.977
133 0.083 0.992 0.977
