 accp4 accp4c accp4p
228 0.167 0.998 0.984
229 0.167 0.998 0.984
230 0.168 0.998 0.985
231 0.168 0.998 0.985
232 0.169 0.998 0.985
233 0.169 0.998 0.985
234 0.170 0.998 0.985
235 0.170 0.998 0.985
236 0.170 0.998 0.985
237 0.170 0.998 0.985
238 0.170 0.998 0.985
239 0.170 0.998 0.985
240 0.171 0.998 0.985
241 0.171 0.998 0.985
242 0.172 0.998 0.985
243 0.172 0.998 0.985
244 0.172 0.998 0.985
245 0.173 0.998 0.985
246 0.173 0.998 0.985
247 0.173 0.998 0.985
248 0.173 0.998 0.985
249 0.173 0.998 0.986
250 0.173 0.998 0.986
251 0.173 0.998 0.986
252 0.174 0.998 0.986
253 0.175 0.998 0.986
254 0.175 0.998 0.986
255 0.175 0.998 0.986
256 0.176 0.998 0.986
257 0.176 0.998 0.986
258 0.177 0.998 0.986
259 0.177 0.998 0.986
260 0.177 0.998 0.986
261 0.177 0.998 0.986
262 0.178 0.998 0.986
263 0.179 0.998 0.986
264 0.179 0.998 0.986
265 0.179 0.998 0.986
266 0.180 0.998 0.986
267 0.180 0.998 0.986
268 0.180 0.998 0.986
269 0.180 0.998 0.986
270 0.180 0.998 0.986
271 0.180 0.998 0.986
272 0.180 0.998 0.986
273 0.180 0.998 0.986
274 0.181 0.998 0.986
275 0.181 0.998 0.986
276 0.181 0.998 0.986
277 0.182 0.998 0.986
278 0.182 0.998 0.986
279 0.183 0.998 0.987
280 0.183 0.998 0.987
281 0.183 0.998 0.987
282 0.183 0.999 0.987
283 0.183 0.999 0.987
284 0.183 0.999 0.987
285 0.184 0.999 0.987
286 0.185 0.999 0.987
287 0.185 0.999 0.987
288 0.185 0.999 0.987
289 0.185 0.999 0.987
290 0.186 0.999 0.987
291 0.186 0.999 0.988
292 0.187 0.999 0.988
293 0.187 0.999 0.988
294 0.187 0.999 0.988
295 0.188 0.999 0.988
296 0.188 0.999 0.988
297 0.188 0.999 0.988
298 0.188 0.999 0.988
299 0.188 0.999 0.988
300 0.188 0.999 0.988
301 0.188 0.999 0.988
302 0.189 0.999 0.988
303 0.189 0.999 0.988
304 0.189 0.999 0.988
305 0.189 0.999 0.988
306 0.190 0.999 0.988
307 0.190 0.999 0.988
308 0.190 0.999 0.989
309 0.190 0.999 0.989
310 0.191 0.999 0.989
311 0.191 0.999 0.989
312 0.191 0.999 0.989
313 0.191 0.999 0.989
314 0.191 0.999 0.989
315 0.191 0.999 0.989
316 0.192 0.999 0.989
317 0.192 0.999 0.989
318 0.192 0.999 0.989
319 0.192 0.999 0.989
320 0.193 0.999 0.989
321 0.193 0.999 0.989
322 0.193 0.999 0.989
323 0.193 0.999 0.989
324 0.193 0.999 0.989
325 0.193 0.999 0.989
326 0.194 0.999 0.990
327 0.195 0.999 0.990
328 0.195 0.999 0.990
329 0.195 0.999 0.990
330 0.195 0.999 0.990
331 0.195 0.999 0.990
332 0.196 0.999 0.990
333 0.196 0.999 0.990
334 0.196 0.999 0.990
335 0.196 0.999 0.990
336 0.197 0.999 0.990
337 0.197 0.999 0.990
338 0.197 0.999 0.990
339 0.197 0.999 0.990
340 0.197 0.999 0.990
341 0.198 0.999 0.990
342 0.198 0.999 0.990
343 0.198 0.999 0.990
344 0.198 0.999 0.990
345 0.199 0.999 0.990
346 0.199 0.999 0.990
347 0.199 0.999 0.990
348 0.200 0.999 0.990
349 0.200 0.999 0.990
350 0.200 0.999 0.990
351 0.200 0.999 0.990
352 0.200 0.999 0.991
353 0.200 0.999 0.991
