 accp4 accp4c accp4p
1 0.053 0.787 0.776
2 0.114 0.812 0.807
3 0.115 0.879 0.873
4 0.118 0.938 0.897
5 0.135 0.954 0.905
6 0.145 0.955 0.929
7 0.155 0.958 0.929
8 0.157 0.959 0.934
9 0.164 0.974 0.935
10 0.186 0.978 0.935
11 0.190 0.981 0.939
12 0.195 0.982 0.942
13 0.210 0.983 0.945
14 0.216 0.985 0.945
15 0.218 0.987 0.949
16 0.230 0.989 0.954
17 0.234 0.990 0.954
18 0.238 0.990 0.958
19 0.267 0.990 0.960
20 0.284 0.991 0.960
21 0.289 0.992 0.960
22 0.295 0.992 0.962
23 0.302 0.993 0.962
24 0.318 0.994 0.963
25 0.329 0.994 0.963
26 0.354 0.994 0.966
27 0.362 0.995 0.967
28 0.365 0.995 0.967
29 0.367 0.996 0.968
30 0.393 0.996 0.971
31 0.410 0.997 0.972
32 0.410 0.997 0.973
33 0.429 0.997 0.973
34 0.433 0.998 0.974
35 0.440 0.998 0.975
36 0.454 0.998 0.975
37 0.455 0.998 0.978
38 0.458 0.998 0.978
39 0.463 0.998 0.978
40 0.472 0.998 0.980
41 0.474 0.999 0.981
42 0.504 0.999 0.983
43 0.504 0.999 0.983
44 0.506 0.999 0.983
45 0.507 0.999 0.985
46 0.513 0.999 0.986
47 0.529 0.999 0.986
48 0.538 0.999 0.987
49 0.555 0.999 0.987
50 0.558 0.999 0.988
51 0.561 0.999 0.988
52 0.575 0.999 0.989
53 0.578 0.999 0.989
54 0.616 0.999 0.991
55 0.619 1.000 0.991
56 0.624 1.000 0.992
57 0.626 1.000 0.992
58 0.628 1.000 0.992
59 0.635 1.000 0.993
60 0.635 1.000 0.993
61 0.638 1.000 0.993
62 0.639 1.000 0.993
63 0.641 1.000 0.994
64 0.645 1.000 0.994
65 0.651 1.000 0.995
66 0.658 1.000 0.995
67 0.666 1.000 0.995
68 0.667 1.000 0.996
69 0.669 1.000 0.996
70 0.677 1.000 0.996
71 0.677 1.000 0.996
72 0.677 1.000 0.997
73 0.681 1.001 0.997
74 0.686 1.001 0.997
75 0.687 1.001 0.997
76 0.712 1.001 0.998
77 0.725 1.001 0.998
78 0.742 1.002 0.998
79 0.744 1.002 0.998
80 0.744 1.002 0.998
81 0.753 1.002 0.999
82 0.763 1.002 0.999
83 0.763 1.003 0.999
84 0.778 1.003 0.999
85 0.791 1.003 0.999
86 0.796 1.003 0.999
87 0.801 1.003 0.999
88 0.803 1.003 0.999
89 0.803 1.004 0.999
90 0.804 1.004 1.000
91 0.808 1.004 1.000
92 0.831 1.004 1.000
93 0.839 1.005 1.000
94 0.845 1.005 1.000
95 0.857 1.007 1.000
96 0.859 1.008 1.000
97 0.863 1.009 1.001
98 0.866 1.009 1.001
99 0.875 1.011 1.001
100 0.880 1.012 1.002
101 0.884 1.018 1.003
102 0.890 1.023 1.003
103 0.890 1.033 1.005
104 0.927 1.038 1.011
105 0.938 1.052 1.023
106 0.945 1.053 1.035
