 accp4 accp4c accp4p
1 0.005 0.463 0.323
2 0.007 0.561 0.467
3 0.008 0.605 0.625
4 0.010 0.632 0.640
5 0.013 0.633 0.669
6 0.015 0.708 0.715
7 0.016 0.708 0.722
8 0.017 0.720 0.733
9 0.017 0.727 0.744
10 0.017 0.729 0.748
11 0.017 0.736 0.755
12 0.018 0.746 0.765
13 0.019 0.747 0.773
14 0.019 0.750 0.782
15 0.019 0.789 0.791
16 0.019 0.798 0.796
17 0.019 0.815 0.804
18 0.019 0.816 0.807
19 0.020 0.834 0.810
20 0.021 0.848 0.813
21 0.021 0.852 0.816
22 0.021 0.853 0.822
23 0.021 0.865 0.834
24 0.023 0.866 0.835
25 0.025 0.870 0.835
26 0.029 0.871 0.837
27 0.029 0.871 0.848
28 0.030 0.883 0.850
29 0.030 0.883 0.852
30 0.030 0.891 0.853
31 0.030 0.893 0.856
32 0.033 0.894 0.858
33 0.033 0.896 0.864
34 0.034 0.900 0.864
35 0.035 0.908 0.865
36 0.037 0.912 0.871
37 0.038 0.913 0.873
38 0.039 0.913 0.878
39 0.040 0.915 0.879
40 0.041 0.920 0.881
41 0.043 0.922 0.882
42 0.045 0.924 0.882
43 0.045 0.924 0.883
44 0.047 0.935 0.885
45 0.048 0.936 0.888
46 0.049 0.942 0.889
47 0.049 0.943 0.890
48 0.049 0.943 0.891
49 0.050 0.944 0.891
50 0.050 0.952 0.892
51 0.050 0.955 0.892
52 0.051 0.958 0.894
53 0.052 0.958 0.894
54 0.052 0.961 0.897
55 0.052 0.961 0.898
56 0.053 0.962 0.901
57 0.053 0.964 0.905
58 0.054 0.964 0.905
59 0.054 0.965 0.905
60 0.055 0.966 0.907
61 0.055 0.967 0.909
62 0.055 0.967 0.917
63 0.055 0.968 0.917
64 0.056 0.969 0.920
65 0.056 0.970 0.923
66 0.056 0.971 0.923
67 0.056 0.971 0.923
68 0.057 0.971 0.928
69 0.057 0.973 0.928
70 0.057 0.974 0.929
71 0.058 0.974 0.931
72 0.059 0.975 0.931
73 0.060 0.976 0.931
74 0.060 0.976 0.931
75 0.060 0.977 0.933
76 0.061 0.977 0.934
77 0.061 0.977 0.936
78 0.062 0.977 0.938
79 0.062 0.978 0.939
80 0.063 0.979 0.941
81 0.063 0.979 0.942
82 0.063 0.979 0.945
83 0.063 0.980 0.946
84 0.064 0.981 0.947
85 0.064 0.981 0.947
86 0.064 0.981 0.947
87 0.066 0.982 0.947
88 0.066 0.982 0.948
89 0.066 0.982 0.948
90 0.067 0.983 0.948
91 0.067 0.983 0.950
92 0.068 0.984 0.950
93 0.068 0.984 0.950
94 0.068 0.984 0.951
95 0.069 0.984 0.951
96 0.069 0.985 0.951
97 0.069 0.985 0.953
98 0.069 0.985 0.953
99 0.070 0.985 0.953
100 0.070 0.985 0.954
101 0.070 0.985 0.955
102 0.070 0.985 0.955
103 0.070 0.985 0.955
104 0.070 0.985 0.956
105 0.070 0.985 0.956
106 0.071 0.986 0.957
107 0.071 0.987 0.957
108 0.072 0.987 0.957
109 0.073 0.987 0.958
110 0.073 0.988 0.958
111 0.073 0.988 0.958
112 0.073 0.988 0.958
113 0.073 0.988 0.958
114 0.073 0.988 0.958
115 0.074 0.988 0.959
116 0.074 0.988 0.959
117 0.075 0.988 0.959
118 0.075 0.988 0.960
119 0.075 0.989 0.960
120 0.076 0.989 0.960
121 0.076 0.989 0.960
122 0.076 0.989 0.960
123 0.077 0.989 0.960
124 0.077 0.990 0.960
