 accp4 accp4c accp4p
1 0.014 0.948 0.620
2 0.029 0.950 0.691
3 0.031 0.956 0.719
4 0.044 0.958 0.811
5 0.051 0.961 0.822
6 0.055 0.965 0.828
7 0.063 0.978 0.842
8 0.064 0.980 0.868
9 0.074 0.982 0.876
10 0.081 0.985 0.893
11 0.088 0.985 0.911
12 0.088 0.986 0.915
13 0.094 0.986 0.915
14 0.095 0.987 0.917
15 0.099 0.988 0.921
16 0.106 0.988 0.928
17 0.117 0.988 0.931
18 0.118 0.989 0.933
19 0.119 0.989 0.937
20 0.123 0.990 0.938
21 0.123 0.991 0.942
22 0.126 0.991 0.943
23 0.130 0.991 0.944
24 0.132 0.991 0.944
25 0.145 0.992 0.946
26 0.147 0.992 0.947
27 0.150 0.992 0.949
28 0.157 0.993 0.950
29 0.162 0.993 0.955
30 0.172 0.993 0.957
31 0.181 0.993 0.957
32 0.184 0.993 0.960
33 0.189 0.994 0.961
34 0.190 0.994 0.961
35 0.191 0.995 0.961
36 0.194 0.995 0.962
37 0.204 0.995 0.962
38 0.214 0.995 0.963
39 0.221 0.996 0.963
40 0.245 0.996 0.965
41 0.252 0.996 0.966
42 0.260 0.997 0.966
43 0.263 0.997 0.967
44 0.266 0.997 0.968
45 0.268 0.997 0.970
46 0.270 0.997 0.971
47 0.280 0.997 0.972
48 0.290 0.998 0.973
49 0.301 0.998 0.973
50 0.330 0.998 0.974
51 0.335 0.998 0.974
52 0.338 0.998 0.975
53 0.343 0.998 0.975
54 0.345 0.998 0.975
55 0.348 0.998 0.976
56 0.348 0.998 0.976
57 0.348 0.998 0.977
58 0.351 0.998 0.977
59 0.351 0.998 0.978
60 0.351 0.999 0.978
61 0.365 0.999 0.978
62 0.368 0.999 0.979
63 0.368 0.999 0.981
64 0.379 0.999 0.981
65 0.380 0.999 0.981
66 0.384 0.999 0.982
67 0.385 0.999 0.982
68 0.398 0.999 0.983
69 0.410 0.999 0.984
70 0.434 0.999 0.985
71 0.435 0.999 0.985
72 0.457 1.000 0.987
73 0.470 1.000 0.988
74 0.502 1.000 0.988
75 0.514 1.000 0.989
76 0.530 1.000 0.989
77 0.532 1.000 0.990
78 0.565 1.000 0.990
79 0.573 1.000 0.990
80 0.581 1.000 0.990
81 0.582 1.000 0.991
82 0.583 1.000 0.992
83 0.584 1.000 0.992
84 0.585 1.001 0.992
85 0.612 1.001 0.993
86 0.618 1.001 0.994
87 0.630 1.001 0.994
88 0.639 1.001 0.994
89 0.641 1.001 0.996
90 0.645 1.001 0.996
91 0.647 1.001 0.996
92 0.649 1.001 0.997
93 0.650 1.002 0.997
94 0.657 1.002 0.997
95 0.683 1.002 0.997
96 0.695 1.002 0.998
97 0.697 1.003 0.998
98 0.714 1.003 0.998
99 0.723 1.003 0.998
100 0.728 1.005 0.998
101 0.750 1.006 0.999
102 0.842 1.006 0.999
103 0.856 1.008 0.999
104 0.867 1.009 1.000
105 0.870 1.009 1.000
106 0.910 1.012 1.000
