 accp4 accp4c accp4p
1 0.045 0.806 0.791
2 0.091 0.807 0.866
3 0.091 0.821 0.877
4 0.095 0.823 0.894
5 0.104 0.824 0.919
6 0.106 0.828 0.927
7 0.107 0.832 0.934
8 0.114 0.834 0.935
9 0.114 0.838 0.936
10 0.114 0.843 0.939
11 0.114 0.844 0.940
12 0.115 0.845 0.941
13 0.115 0.858 0.942
14 0.115 0.861 0.943
15 0.115 0.861 0.945
16 0.115 0.872 0.946
17 0.138 0.922 0.946
18 0.140 0.962 0.947
19 0.141 0.965 0.947
20 0.142 0.974 0.947
21 0.152 0.975 0.951
22 0.165 0.975 0.955
23 0.169 0.980 0.956
24 0.174 0.981 0.961
25 0.175 0.987 0.962
26 0.176 0.987 0.963
27 0.177 0.988 0.970
28 0.178 0.989 0.974
29 0.180 0.989 0.979
30 0.183 0.991 0.981
31 0.185 0.991 0.981
32 0.185 0.992 0.982
33 0.185 0.993 0.983
34 0.186 0.993 0.986
35 0.186 0.993 0.987
36 0.186 0.994 0.987
37 0.188 0.994 0.987
38 0.189 0.995 0.989
39 0.192 0.995 0.990
40 0.193 0.996 0.991
41 0.193 0.996 0.991
42 0.193 0.997 0.992
43 0.194 0.997 0.992
44 0.194 0.997 0.992
45 0.194 0.997 0.993
46 0.194 0.998 0.993
47 0.195 0.998 0.993
48 0.198 0.998 0.993
49 0.199 0.998 0.993
50 0.199 0.998 0.993
51 0.199 0.998 0.993
52 0.200 0.998 0.994
53 0.200 0.998 0.994
54 0.200 0.998 0.994
55 0.201 0.999 0.994
56 0.202 0.999 0.994
57 0.202 0.999 0.994
58 0.203 0.999 0.994
59 0.203 0.999 0.994
60 0.203 0.999 0.995
61 0.204 0.999 0.995
62 0.204 0.999 0.995
63 0.205 1.000 0.995
64 0.206 1.000 0.995
65 0.209 1.000 0.996
66 0.210 1.000 0.996
67 0.210 1.000 0.996
68 0.212 1.000 0.996
69 0.216 1.000 0.997
70 0.220 1.000 0.997
71 0.221 1.000 0.997
72 0.222 1.000 0.997
73 0.222 1.000 0.997
74 0.222 1.000 0.997
75 0.222 1.000 0.997
76 0.223 1.000 0.997
77 0.223 1.000 0.997
78 0.223 1.000 0.997
79 0.224 1.000 0.998
80 0.224 1.000 0.998
81 0.224 1.000 0.998
82 0.224 1.000 0.998
83 0.224 1.000 0.998
84 0.225 1.000 0.998
85 0.231 1.000 0.998
86 0.234 1.000 0.998
87 0.236 1.000 0.998
88 0.237 1.000 0.998
89 0.240 1.000 0.998
90 0.240 1.000 0.998
91 0.241 1.000 0.998
92 0.241 1.000 0.998
93 0.242 1.000 0.998
94 0.244 1.000 0.998
95 0.244 1.000 0.998
96 0.247 1.000 0.998
97 0.248 1.000 0.999
98 0.249 1.000 0.999
99 0.249 1.000 0.999
100 0.251 1.000 0.999
101 0.255 1.000 0.999
102 0.257 1.000 0.999
103 0.257 1.000 0.999
104 0.257 1.000 0.999
105 0.259 1.000 0.999
106 0.259 1.000 0.999
107 0.259 1.000 0.999
108 0.263 1.000 0.999
109 0.267 1.000 0.999
110 0.274 1.000 0.999
111 0.283 1.000 0.999
112 0.287 1.000 0.999
113 0.289 1.000 0.999
114 0.290 1.000 0.999
115 0.291 1.000 0.999
116 0.294 1.000 0.999
117 0.295 1.000 0.999
118 0.295 1.000 0.999
119 0.296 1.000 0.999
120 0.298 1.000 0.999
121 0.300 1.000 0.999
122 0.300 1.000 0.999
123 0.301 1.000 0.999
124 0.303 1.000 0.999
125 0.304 1.000 0.999
126 0.305 1.000 0.999
127 0.313 1.000 0.999
128 0.313 1.000 0.999
129 0.318 1.000 0.999
130 0.320 1.000 0.999
131 0.320 1.000 0.999
132 0.321 1.000 0.999
133 0.322 1.000 0.999
134 0.322 1.000 0.999
135 0.323 1.000 0.999
136 0.324 1.000 0.999
137 0.324 1.000 0.999
138 0.329 1.000 0.999
139 0.331 1.000 0.999
140 0.341 1.000 1.000
141 0.343 1.000 1.000
142 0.343 1.000 1.000
143 0.344 1.000 1.000
144 0.345 1.000 1.000
145 0.347 1.000 1.000
146 0.352 1.000 1.000
147 0.361 1.000 1.000
148 0.363 1.000 1.000
149 0.365 1.000 1.000
150 0.370 1.000 1.000
151 0.371 1.000 1.000
152 0.371 1.000 1.000
153 0.372 1.000 1.000
154 0.374 1.000 1.000
155 0.374 1.000 1.000
156 0.375 1.000 1.000
157 0.375 1.000 1.000
158 0.380 1.000 1.000
159 0.385 1.000 1.000
160 0.386 1.000 1.000
161 0.389 1.000 1.000
162 0.392 1.000 1.000
163 0.397 1.000 1.000
164 0.398 1.000 1.000
165 0.399 1.000 1.000
166 0.405 1.000 1.000
167 0.415 1.000 1.000
168 0.415 1.000 1.000
169 0.428 1.000 1.000
170 0.434 1.000 1.000
171 0.435 1.000 1.000
172 0.440 1.000 1.000
173 0.441 1.000 1.000
174 0.442 1.000 1.000
175 0.442 1.000 1.000
176 0.445 1.000 1.000
177 0.447 1.000 1.000
178 0.448 1.000 1.000
179 0.448 1.000 1.000
180 0.448 1.000 1.000
181 0.452 1.000 1.000
182 0.469 1.000 1.000
183 0.473 1.000 1.000
184 0.474 1.000 1.000
185 0.480 1.000 1.000
186 0.481 1.000 1.000
187 0.487 1.000 1.000
188 0.488 1.000 1.000
189 0.495 1.000 1.000
190 0.496 1.000 1.000
191 0.499 1.000 1.000
192 0.501 1.000 1.000
193 0.502 1.000 1.000
194 0.504 1.000 1.000
195 0.504 1.000 1.000
196 0.505 1.000 1.000
197 0.507 1.000 1.000
198 0.511 1.000 1.000
199 0.512 1.000 1.000
200 0.513 1.000 1.000
201 0.513 1.000 1.000
202 0.516 1.000 1.000
203 0.519 1.000 1.000
204 0.519 1.000 1.000
205 0.520 1.000 1.000
206 0.522 1.000 1.000
207 0.525 1.000 1.000
208 0.528 1.000 1.000
209 0.531 1.000 1.000
210 0.539 1.000 1.000
211 0.541 1.000 1.000
212 0.548 1.000 1.000
213 0.553 1.000 1.000
214 0.553 1.000 1.000
215 0.555 1.000 1.000
216 0.559 1.000 1.000
217 0.561 1.000 1.000
218 0.567 1.000 1.000
219 0.571 1.000 1.000
220 0.586 1.000 1.000
221 0.587 1.000 1.000
222 0.590 1.000 1.000
223 0.607 1.000 1.000
224 0.614 1.000 1.000
225 0.627 1.000 1.000
226 0.629 1.000 1.000
227 0.640 1.000 1.000
228 0.650 1.000 1.000
229 0.651 1.000 1.000
230 0.651 1.000 1.000
231 0.652 1.000 1.000
232 0.654 1.000 1.000
233 0.663 1.000 1.000
234 0.673 1.000 1.000
235 0.677 1.000 1.000
236 0.695 1.000 1.000
237 0.695 1.000 1.000
238 0.702 1.000 1.000
239 0.704 1.000 1.000
240 0.706 1.000 1.000
241 0.707 1.000 1.000
242 0.707 1.000 1.000
243 0.729 1.000 1.000
244 0.737 1.000 1.000
245 0.745 1.000 1.000
246 0.746 1.000 1.000
247 0.748 1.000 1.000
248 0.754 1.000 1.000
249 0.754 1.000 1.000
250 0.758 1.000 1.000
251 0.786 1.000 1.000
252 0.791 1.000 1.000
253 0.812 1.000 1.000
254 0.818 1.000 1.000
255 0.819 1.000 1.000
256 0.819 1.000 1.000
257 0.819 1.000 1.000
258 0.819 1.000 1.000
259 0.819 1.000 1.000
260 0.820 1.000 1.000
261 0.820 1.000 1.000
262 0.820 1.000 1.000
263 0.820 1.000 1.000
264 0.820 1.000 1.000
265 0.820 1.000 1.000
266 0.820 1.000 1.000
267 0.821 1.000 1.000
268 0.821 1.000 1.000
269 0.821 1.000 1.000
270 0.821 1.000 1.000
271 0.821 1.000 1.000
272 0.821 1.000 1.000
273 0.822 1.000 1.000
274 0.822 1.000 1.000
275 0.822 1.000 1.000
276 0.822 1.000 1.000
277 0.822 1.000 1.000
278 0.822 1.000 1.000
279 0.823 1.000 1.000
280 0.823 1.000 1.000
281 0.825 1.000 1.000
282 0.825 1.000 1.000
283 0.826 1.000 1.000
284 0.827 1.000 1.000
285 0.827 1.000 1.000
286 0.828 1.000 1.000
287 0.829 1.000 1.000
288 0.829 1.000 1.000
289 0.840 1.000 1.000
290 0.846 1.000 1.000
291 0.853 1.000 1.000
292 0.861 1.000 1.000
293 0.862 1.000 1.000
294 0.863 1.000 1.000
295 0.864 1.000 1.000
296 0.866 1.000 1.000
297 0.873 1.000 1.000
298 0.882 1.000 1.000
299 0.883 1.000 1.000
300 0.883 1.000 1.000
301 0.888 1.000 1.000
302 0.900 1.000 1.000
303 0.903 1.000 1.000
304 0.910 1.000 1.000
305 0.916 1.000 1.000
306 0.920 1.000 1.000
307 0.923 1.000 1.000
308 0.923 1.000 1.000
309 0.924 1.000 1.000
310 0.925 1.000 1.000
311 0.926 1.000 1.000
312 0.926 1.000 1.000
313 0.926 1.000 1.000
314 0.927 1.000 1.000
315 0.927 1.000 1.000
316 0.927 1.000 1.000
317 0.927 1.000 1.000
318 0.928 1.000 1.000
319 0.930 1.000 1.000
320 0.937 1.000 1.000
321 0.941 1.000 1.000
322 0.944 1.000 1.000
323 0.953 1.000 1.000
324 0.956 1.000 1.000
325 0.969 1.000 1.000
326 0.970 1.000 1.000
327 0.979 1.000 1.000
328 0.981 1.000 1.000
329 1.000 1.000 1.000
330 1.000 1.000 1.000
331 1.000 1.000 1.000
332 1.000 1.000 1.000
333 1.000 1.000 1.000
334 1.000 1.000 1.000
335 1.000 1.000 1.000
336 1.000 1.000 1.000
337 1.000 1.000 1.000
338 1.000 1.000 1.000
339 1.000 1.000 1.000
340 1.000 1.000 1.000
341 1.000 1.000 1.000
342 1.000 1.000 1.000
343 1.000 1.000 1.000
344 1.000 1.000 1.000
345 1.000 1.000 1.000
346 1.000 1.000 1.000
347 1.000 1.000 1.000
348 1.000 1.000 1.000
349 1.000 1.000 1.000
350 1.000 1.000 1.000
351 1.000 1.000 1.000
352 1.000 1.000 1.000
353 1.000 1.000 1.000
354 1.000 1.000 1.000
355 1.000 1.000 1.000
356 1.000 1.000 1.000
357 1.000 1.000 1.000
358 1.000 1.000 1.000
359 1.000 1.000 1.000
360 1.000 1.000 1.000
361 1.000 1.000 1.000
362 1.000 1.000 1.000
363 1.000 1.000 1.000
364 1.000 1.000 1.000
365 1.000 1.000 1.000
366 1.000 1.000 1.000
367 1.000 1.000 1.000
368 1.000 1.000 1.000
369 1.000 1.000 1.000
370 1.000 1.000 1.000
371 1.000 1.000 1.000
372 1.000 1.000 1.000
373 1.000 1.000 1.000
374 1.000 1.000 1.000
375 1.000 1.000 1.000
376 1.000 1.000 1.000
377 1.000 1.000 1.000
378 1.000 1.000 1.000
379 1.000 1.000 1.000
380 1.000 1.000 1.000
381 1.000 1.000 1.000
382 1.000 1.000 1.000
383 1.000 1.000 1.000
384 1.000 1.000 1.000
385 1.000 1.000 1.000
386 1.000 1.000 1.000
387 1.000 1.000 1.000
388 1.000 1.000 1.000
389 1.000 1.000 1.000
390 1.000 1.000 1.000
391 1.000 1.000 1.000
392 1.000 1.000 1.000
393 1.000 1.000 1.000
394 1.000 1.000 1.000
395 1.000 1.000 1.000
396 1.000 1.000 1.000
397 1.000 1.000 1.000
398 1.000 1.000 1.000
399 1.000 1.000 1.000
400 1.000 1.000 1.000
401 1.000 1.000 1.000
402 1.000 1.001 1.000
403 1.000 1.001 1.000
404 1.000 1.001 1.000
405 1.000 1.001 1.000
406 1.000 1.001 1.000
407 1.000 1.001 1.000
408 1.000 1.001 1.000
