,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
wiki_2016u.oracleGeneral.zst,0.1507,0.1538,0.1538,0.1541,0.1017,0.1761,0.1841,0.231,0.188,0.1502,0.1774,0.1462,0.1547,0.1857,0.1501,0.1496,0.1542,0.1631,0.1418
wiki_2019t.oracleGeneral.zst,0.3058,0.3088,0.3088,0.3204,0.2232,0.3422,0.362,0.4226,0.3646,0.32,0.3536,0.3116,0.3176,0.3656,0.3059,0.3026,0.3165,0.3199,0.3167
wiki_2019u.oracleGeneral.zst,0.232,0.2364,0.2365,0.2395,0.1545,0.2679,0.2806,0.3432,0.284,0.2305,0.2719,0.2297,0.2396,0.2856,0.2321,0.2305,0.2388,0.2493,0.2243
