,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst_6928385,0.3615,0.3663,0.2617,0.3573,0.3574,0.4216,0.4026,0.4388,0.38,0.6202,0.4474,0.3668,0.3586,0.3539,0.3615,0.3659,0.3707,0.3671,0.4023
w94.oracleGeneral.bin.zst_4118188,0.753,0.823,0.5981,0.7336,0.8193,0.8337,0.7718,0.7907,0.8197,0.8381,0.7974,0.7797,0.822,0.8128,0.7464,0.7523,0.8893,0.7774,0.7467
w105.oracleGeneral.bin.zst_3375344,0.9162,0.9144,0.8495,0.9244,0.9415,0.9405,0.9431,0.9308,0.941,0.9277,0.9367,0.9209,0.9408,0.9381,0.9161,0.9249,0.9157,0.9324,0.9088
w35.oracleGeneral.bin.zst_15415663,0.3839,0.3872,0.3099,0.3905,0.4104,0.4565,0.4217,0.4348,0.4136,0.6285,0.5131,0.3869,0.4171,0.3988,0.384,0.384,0.3883,0.388,0.3855
w19.oracleGeneral.bin.zst_31116216,0.4487,0.5985,0.3095,0.5455,0.6406,0.6934,0.5924,0.7334,0.6201,0.6976,0.6159,0.3969,0.6609,0.5862,0.4549,0.4518,0.5568,0.4873,0.4181
w75.oracleGeneral.bin.zst_6152624,0.2374,0.2426,0.1791,0.2521,0.2732,0.3301,0.3113,0.3933,0.2776,0.3463,0.5206,0.2447,0.282,0.2614,0.2372,0.2386,0.2504,0.2491,0.2449
w50.oracleGeneral.bin.zst_13448032,0.792,0.9367,0.6437,0.9528,0.9839,0.9869,0.8432,0.8104,0.966,0.9381,0.7663,0.6921,0.9866,0.9861,0.8107,0.8099,0.7506,0.9569,0.7112
w97.oracleGeneral.bin.zst_3768450,0.8533,0.8723,0.7749,0.8776,0.904,0.9115,0.9071,0.9114,0.9041,0.8937,0.9139,0.8635,0.905,0.902,0.8606,0.8709,0.892,0.8833,0.8501
w83.oracleGeneral.bin.zst_3880481,0.7331,0.7367,0.6863,0.7442,0.7541,0.7704,0.8062,0.7779,0.7585,0.7463,0.7998,0.737,0.751,0.7476,0.7334,0.7339,0.7427,0.739,0.7284
w81.oracleGeneral.bin.zst_5026619,0.8825,0.8878,0.8672,0.8965,0.9014,0.9027,0.9035,0.8956,0.9011,0.8933,0.9017,0.8806,0.9022,0.9008,0.8849,0.8882,0.8861,0.8959,0.882
w63.oracleGeneral.bin.zst_9380316,0.5016,0.5126,0.4428,0.5228,0.5399,0.5603,0.5582,0.5748,0.5372,0.5284,0.631,0.5121,0.5467,0.532,0.5016,0.5047,0.5156,0.5224,0.5006
w86.oracleGeneral.bin.zst_4749563,0.9749,0.9774,0.9022,0.9773,0.9803,0.9807,0.9768,0.9778,0.9792,0.9775,0.9813,0.9756,0.9806,0.9805,0.9545,0.9562,0.9745,0.9801,0.9767
