,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst_6928385,0.204,0.2066,0.1322,0.2045,0.2115,0.2515,0.2007,0.15,0.226,0.3259,0.162,0.1953,0.2143,0.2096,0.2025,0.2047,0.199,0.2067,0.1951
w94.oracleGeneral.bin.zst_4118188,0.6859,0.7636,0.537,0.6776,0.7719,0.7877,0.6677,0.605,0.7749,0.7344,0.5972,0.6953,0.7744,0.7646,0.682,0.6898,0.8228,0.7238,0.6464
w105.oracleGeneral.bin.zst_3375344,0.6832,0.7242,0.6847,0.705,0.7797,0.7806,0.7747,0.6713,0.7806,0.7239,0.6855,0.7014,0.7799,0.7663,0.6796,0.7272,0.6722,0.7645,0.6977
w35.oracleGeneral.bin.zst_15415663,0.0887,0.0922,0.0707,0.0929,0.1058,0.1541,0.086,0.0675,0.1076,0.1527,0.0723,0.0877,0.1114,0.0996,0.0882,0.0887,0.0872,0.0946,0.0867
w19.oracleGeneral.bin.zst_31116216,0.6079,0.6977,0.3898,0.6285,0.748,0.7706,0.4899,0.2966,0.7313,0.6564,0.2714,0.5029,0.7613,0.7102,0.571,0.5693,0.5501,0.5926,0.5138
w75.oracleGeneral.bin.zst_6152624,0.1912,0.1904,0.1413,0.1969,0.216,0.2382,0.182,0.1205,0.2196,0.2069,0.1459,0.184,0.2208,0.2063,0.1896,0.1905,0.1917,0.2015,0.1805
w50.oracleGeneral.bin.zst_13448032,0.6885,0.9348,0.4419,0.9373,0.9795,0.9825,0.6793,0.4536,0.9518,0.9545,0.4362,0.5131,0.9822,0.9817,0.7306,0.7276,0.5694,0.9598,0.5184
w97.oracleGeneral.bin.zst_3768450,0.6573,0.6804,0.5667,0.6788,0.7006,0.7213,0.6511,0.6531,0.6981,0.6867,0.6322,0.6565,0.7041,0.6982,0.664,0.6731,0.667,0.6854,0.6563
w83.oracleGeneral.bin.zst_3880481,0.4139,0.4168,0.3681,0.4258,0.4385,0.4478,0.4293,0.3317,0.4422,0.3985,0.3752,0.4139,0.4365,0.4292,0.4123,0.4136,0.4272,0.4245,0.3995
w81.oracleGeneral.bin.zst_5026619,0.662,0.664,0.6289,0.6796,0.7243,0.7285,0.7157,0.6173,0.7227,0.6943,0.6062,0.6442,0.7269,0.7215,0.6625,0.6485,0.6531,0.6834,0.6261
w63.oracleGeneral.bin.zst_9380316,0.6947,0.706,0.6218,0.7111,0.7246,0.7352,0.7171,0.6616,0.7257,0.7327,0.6922,0.7027,0.7296,0.7153,0.6935,0.6998,0.6915,0.7124,0.6953
w86.oracleGeneral.bin.zst_4749563,0.9452,0.9459,0.9104,0.946,0.9527,0.9543,0.9476,0.9432,0.9519,0.946,0.9463,0.9443,0.954,0.9536,0.9386,0.9431,0.9429,0.953,0.9519
