,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w51.oracleGeneral.bin.zst_9551283,0.2502,0.3019,0.1693,0.2834,0.306,0.3204,0.2772,0.2755,0.3025,0.2869,0.2102,0.3035,0.2556,0.2558,0.2325,0.3031,0.2257
w84.oracleGeneral.bin.zst_4814234,0.2499,0.2568,0.1871,0.2596,0.2642,0.2839,0.2724,0.2642,0.269,0.3402,0.2587,0.2642,0.2495,0.2499,0.2506,0.2528,0.2528
w37.oracleGeneral.bin.zst_18840688,0.5409,0.5752,0.4784,0.5832,0.637,0.6898,0.6237,0.5784,0.6367,0.5927,0.5578,0.6458,0.5704,0.5791,0.5632,0.5817,0.5418
w87.oracleGeneral.bin.zst_3788806,0.5873,0.6232,0.4561,0.642,0.6348,0.6426,0.6129,0.6413,0.6266,0.7266,0.6654,0.6633,0.5895,0.5763,0.5892,0.5952,0.5964
w34.oracleGeneral.bin.zst_19553551,0.5488,0.652,0.4616,0.5876,0.6056,0.6046,0.6049,0.6261,0.609,0.7144,0.5876,0.5947,0.5669,0.5676,0.5646,0.5936,0.6025
w66.oracleGeneral.bin.zst_9169631,0.5021,0.6395,0.4368,0.6607,0.7361,0.7365,0.6388,0.6582,0.7239,0.5876,0.5033,0.6914,0.6131,0.6218,0.5522,0.6837,0.5123
w06.oracleGeneral.bin.zst_69392150,0.0345,0.0356,0.0263,0.0353,0.0368,0.0471,0.0472,0.0394,0.0425,0.0565,0.0353,0.036,0.0345,0.0343,0.0353,0.0379,0.0433
w91.oracleGeneral.bin.zst_4316605,0.3821,0.4058,0.2906,0.4008,0.4173,0.4299,0.4279,0.3843,0.4047,0.4469,0.3873,0.414,0.3785,0.3764,0.3734,0.3994,0.3884
w79.oracleGeneral.bin.zst_5411394,0.9275,0.9319,0.893,0.9322,0.9337,0.9413,0.9342,0.9338,0.9329,0.9458,0.934,0.9341,0.9319,0.9328,0.9277,0.9347,0.9365
w41.oracleGeneral.bin.zst_17004738,0.158,0.1635,0.1263,0.1712,0.1968,0.2105,0.2072,0.1909,0.2042,0.1812,0.1601,0.1787,0.1595,0.16,0.1692,0.1658,0.1518
w72.oracleGeneral.bin.zst_6407185,0.3927,0.4032,0.2559,0.419,0.4166,0.4298,0.4393,0.4194,0.4185,0.5109,0.4226,0.4215,0.3767,0.3754,0.3905,0.3862,0.3612
w10.oracleGeneral.bin.zst_48342350,0.7529,0.8224,0.5865,0.7523,0.8292,0.8321,0.7978,0.7888,0.8278,0.7859,0.755,0.8229,0.7728,0.7863,0.7628,0.8118,0.7493
w08.oracleGeneral.bin.zst_44464937,0.8441,0.882,0.6925,0.8823,0.9159,0.9167,0.9055,0.8782,0.9138,0.8826,0.8457,0.9164,0.8545,0.8604,0.847,0.8808,0.8306
w103.oracleGeneral.bin.zst_3442094,0.3071,0.3097,0.2247,0.3134,0.3189,0.3358,0.3421,0.3572,0.3275,0.4443,0.2983,0.3178,0.2965,0.3012,0.307,0.2984,0.3066
w58.oracleGeneral.bin.zst_10530695,0.4146,0.4769,0.3159,0.4416,0.5111,0.5165,0.46,0.4633,0.5111,0.5079,0.4162,0.5032,0.4545,0.462,0.4185,0.4946,0.4278
w52.oracleGeneral.bin.zst_11451546,0.3138,0.3419,0.2285,0.3498,0.3866,0.4149,0.4084,0.3822,0.3949,0.4021,0.3121,0.3622,0.309,0.3039,0.3419,0.3301,0.2895
w16.oracleGeneral.bin.zst_26702188,0.5977,0.602,0.5367,0.6162,0.6581,0.6724,0.6884,0.6821,0.651,0.7746,0.6037,0.6559,0.597,0.6017,0.5961,0.6311,0.611
w40.oracleGeneral.bin.zst_17657232,0.1444,0.1577,0.0852,0.1539,0.1639,0.1722,0.2031,0.2187,0.1724,0.1847,0.1504,0.1594,0.1464,0.1304,0.1625,0.1299,0.125
w25.oracleGeneral.bin.zst_26569398,0.2211,0.27,0.1856,0.273,0.3574,0.4086,0.4017,0.2687,0.3915,0.2738,0.3114,0.2139,0.2948,0.2993,0.2821,0.2629,0.2355
w38.oracleGeneral.bin.zst_18535323,0.525,0.548,0.4471,0.5783,0.6018,0.6156,0.6078,0.6113,0.6019,0.669,0.5455,0.5678,0.5255,0.5213,0.5659,0.5532,0.5773
w71.oracleGeneral.bin.zst_6840776,0.3799,0.4184,0.2771,0.4179,0.4561,0.4849,0.4878,0.4643,0.4761,0.4854,0.3788,0.4354,0.3787,0.3745,0.4005,0.4193,0.3388
w20.oracleGeneral.bin.zst_29842317,0.8194,0.8831,0.7349,0.8998,0.9131,0.9144,0.9087,0.9107,0.9085,0.9245,0.8139,0.9094,0.8802,0.88,0.851,0.8968,0.818
w93.oracleGeneral.bin.zst_3351357,0.8078,0.8948,0.6981,0.8789,0.9153,0.9162,0.9113,0.8985,0.9133,0.9086,0.8062,0.9158,0.8169,0.8215,0.8328,0.876,0.8187
w15.oracleGeneral.bin.zst_33628757,0.8383,0.9163,0.7306,0.8928,0.9294,0.9333,0.9048,0.9062,0.9266,0.8549,0.8351,0.9185,0.8526,0.8581,0.8448,0.9205,0.8052
w21.oracleGeneral.bin.zst_29416348,0.9035,0.9548,0.8294,0.9497,0.9832,0.9836,0.9651,0.9809,0.9798,0.9399,0.9002,0.9833,0.9283,0.9303,0.9203,0.9742,0.909
w02.oracleGeneral.bin.zst_122181000,0.5837,0.9915,0.2976,0.987,0.992,0.9912,0.5728,0.7202,0.9237,0.4132,0.3277,0.9906,0.7097,0.7097,0.4883,0.8219,0.4224
w26.oracleGeneral.bin.zst_26532121,0.435,0.4405,0.3137,0.4426,0.4842,0.5301,0.5098,0.4928,0.4836,0.5918,0.4332,0.4839,0.4314,0.4274,0.4385,0.4409,0.4363
w64.oracleGeneral.bin.zst_7458266,0.9381,0.938,0.9077,0.938,0.9422,0.9443,0.9365,0.9385,0.9382,0.9397,0.936,0.9441,0.938,0.94,0.9382,0.9441,0.9486
w39.oracleGeneral.bin.zst_17920022,0.099,0.107,0.0632,0.1059,0.1168,0.1216,0.1352,0.1394,0.1253,0.1297,0.1021,0.1135,0.0973,0.0944,0.1127,0.0934,0.0838
w32.oracleGeneral.bin.zst_20776392,0.4333,0.4639,0.3212,0.4543,0.4482,0.4663,0.465,0.4213,0.4764,0.4583,0.4534,0.4381,0.4436,0.4091,0.4672,0.4095,0.3637
w24.oracleGeneral.bin.zst_27165370,0.6553,0.6686,0.4954,0.6768,0.685,0.6942,0.6867,0.6734,0.6864,0.7068,0.6675,0.6857,0.6503,0.654,0.6535,0.6577,0.6644
w59.oracleGeneral.bin.zst_10223136,0.515,0.5182,0.3192,0.5153,0.52,0.5677,0.5646,0.595,0.5331,0.7617,0.5141,0.5207,0.5072,0.5132,0.5288,0.5196,0.5652
