,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst_6928385,0.4691,0.4471,0.3385,0.4736,0.5227,0.6076,0.5588,0.6001,0.558,0.7625,0.5691,0.4474,0.5425,0.4999,0.4636,0.459,0.5007,0.4777,0.4706
w94.oracleGeneral.bin.zst_4118188,0.9525,0.9778,0.8119,0.9576,0.9626,0.9629,0.9345,0.9651,0.9625,0.9826,0.9485,0.9681,0.9627,0.9628,0.955,0.9614,0.953,0.9617,0.9024
w105.oracleGeneral.bin.zst_3375344,0.9425,0.9421,0.9018,0.9452,0.9505,0.9517,0.9554,0.9534,0.9508,0.9474,0.9549,0.9446,0.9505,0.9471,0.9404,0.9397,0.9439,0.943,0.9436
w35.oracleGeneral.bin.zst_15415663,0.4332,0.4329,0.3709,0.448,0.4829,0.5623,0.5331,0.5959,0.4913,0.7494,0.5933,0.4372,0.4911,0.4647,0.432,0.4311,0.4545,0.4391,0.4348
w19.oracleGeneral.bin.zst_31116216,0.857,0.9821,0.6957,0.8996,0.989,0.9894,0.9156,0.9286,0.9867,0.9287,0.8675,0.835,0.9895,0.9864,0.8477,0.8493,0.8797,0.8807,0.8002
w75.oracleGeneral.bin.zst_6152624,0.353,0.3966,0.2786,0.3881,0.4295,0.5017,0.4943,0.6352,0.4355,0.4874,0.69,0.3679,0.446,0.4012,0.3547,0.3534,0.3882,0.3743,0.3566
w50.oracleGeneral.bin.zst_13448032,0.8989,0.9368,0.8715,0.9462,0.9886,0.9887,0.9746,0.987,0.9883,0.9467,0.9349,0.8887,0.9886,0.988,0.9451,0.981,0.9127,0.985,0.9014
w97.oracleGeneral.bin.zst_3768450,0.9049,0.921,0.8334,0.9175,0.9308,0.9339,0.9255,0.9229,0.9306,0.9356,0.9304,0.9146,0.931,0.9268,0.9094,0.9059,0.9152,0.9117,0.8983
w83.oracleGeneral.bin.zst_3880481,0.8006,0.8102,0.7416,0.8108,0.8281,0.8314,0.8487,0.857,0.8399,0.8294,0.8564,0.813,0.8241,0.8212,0.797,0.7849,0.8214,0.7819,0.7889
w81.oracleGeneral.bin.zst_5026619,0.904,0.9054,0.8872,0.9065,0.9079,0.9094,0.9094,0.9041,0.9071,0.9237,0.9153,0.9052,0.9083,0.9064,0.9036,0.9037,0.9048,0.9031,0.9041
w63.oracleGeneral.bin.zst_9380316,0.6148,0.634,0.5391,0.6325,0.6502,0.7048,0.6772,0.6659,0.6496,0.6308,0.7451,0.6209,0.6608,0.6441,0.6129,0.6143,0.6249,0.6138,0.621
w86.oracleGeneral.bin.zst_4749563,0.9774,0.9786,0.9429,0.979,0.9812,0.9814,0.9819,0.9799,0.9811,0.9789,0.9836,0.9791,0.9813,0.9808,0.9787,0.9798,0.9769,0.981,0.9796
w60.oracleGeneral.bin.zst_9898835,0.7424,0.7549,0.6643,0.7565,0.7673,0.7757,0.7983,0.8282,0.7668,0.8371,0.8613,0.7599,0.7694,0.7626,0.743,0.7428,0.7742,0.7481,0.753
w30.oracleGeneral.bin.zst_21390010,0.5417,0.6137,0.4241,0.5749,0.6354,0.7105,0.7075,0.7811,0.6444,0.9489,0.802,0.5244,0.6471,0.6178,0.5296,0.5295,0.5977,0.5454,0.6416
w102.oracleGeneral.bin.zst_3558215,0.4461,0.4591,0.3649,0.4467,0.4989,0.5323,0.5455,0.6375,0.5135,0.7547,0.6018,0.5192,0.4952,0.4791,0.4458,0.448,0.4744,0.4467,0.5521
w78.oracleGeneral.bin.zst_5493106,0.5752,0.5713,0.4868,0.5831,0.6118,0.7038,0.7623,0.8084,0.6149,0.7963,0.8188,0.5739,0.6264,0.605,0.5729,0.5735,0.6987,0.5883,0.6226
w18.oracleGeneral.bin.zst_22466283,0.67,0.697,0.5958,0.6856,0.7154,0.7324,0.7495,0.7754,0.7139,0.7081,0.8118,0.6749,0.7186,0.696,0.6688,0.6679,0.6799,0.6755,0.6724
w99.oracleGeneral.bin.zst_3660840,0.9329,0.9352,0.9213,0.9379,0.944,0.9409,0.9417,0.9414,0.9422,0.9392,0.9434,0.9369,0.9431,0.943,0.9351,0.9332,0.9365,0.9326,0.9366
w03.oracleGeneral.bin.zst_84712978,0.8299,0.8604,0.764,0.8296,0.8357,0.8452,0.8383,0.8273,0.8349,0.9354,0.8437,0.8437,0.8372,0.8297,0.8314,0.832,0.8302,0.8258,0.8367
w42.oracleGeneral.bin.zst_16894445,0.7262,0.7444,0.6135,0.74,0.7598,0.7705,0.7747,0.7847,0.7585,0.7989,0.8378,0.736,0.763,0.7549,0.7246,0.7264,0.7385,0.7332,0.736
w44.oracleGeneral.bin.zst_12116074,0.8104,0.8074,0.7704,0.8136,0.83,0.8378,0.8392,0.8452,0.8304,0.8811,0.8756,0.8184,0.8323,0.8274,0.8115,0.81,0.8218,0.813,0.8193
