,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst_6928385,0.1359,0.1416,0.078,0.1404,0.1483,0.1702,0.1247,0.0907,0.1532,0.1814,0.1022,0.1283,0.1494,0.1432,0.1324,0.1335,0.1365,0.14,0.1347
w94.oracleGeneral.bin.zst_4118188,0.4625,0.5563,0.401,0.4648,0.5469,0.5483,0.511,0.3292,0.5502,0.4347,0.3954,0.45,0.5501,0.5206,0.4681,0.4676,0.4584,0.4819,0.4674
w105.oracleGeneral.bin.zst_3375344,0.628,0.6594,0.5603,0.6507,0.7431,0.749,0.728,0.5519,0.7466,0.6579,0.6021,0.6239,0.7456,0.744,0.6337,0.6572,0.593,0.7151,0.637
w35.oracleGeneral.bin.zst_15415663,0.0718,0.0735,0.0546,0.073,0.0795,0.0999,0.0633,0.0482,0.0799,0.0811,0.0537,0.068,0.0815,0.0789,0.0712,0.0719,0.0692,0.0779,0.0695
w19.oracleGeneral.bin.zst_31116216,0.148,0.1524,0.1097,0.1515,0.1679,0.2518,0.1739,0.1116,0.1844,0.4216,0.1089,0.1463,0.1775,0.1646,0.1451,0.146,0.1438,0.1533,0.1439
w75.oracleGeneral.bin.zst_6152624,0.1154,0.1119,0.0781,0.1175,0.1368,0.1626,0.1144,0.0742,0.1369,0.1492,0.0903,0.1094,0.1427,0.1316,0.1126,0.1106,0.1162,0.1282,0.1077
w50.oracleGeneral.bin.zst_13448032,0.1857,0.2902,0.1551,0.2415,0.3285,0.3944,0.339,0.1926,0.3463,0.2033,0.1657,0.1746,0.3398,0.2875,0.1974,0.2234,0.2259,0.2456,0.1931
w97.oracleGeneral.bin.zst_3768450,0.6128,0.6363,0.5069,0.6377,0.6694,0.6869,0.5704,0.5494,0.666,0.6384,0.5716,0.6021,0.674,0.6621,0.6333,0.6503,0.6282,0.662,0.6132
w83.oracleGeneral.bin.zst_3880481,0.3416,0.3213,0.3045,0.3479,0.3569,0.357,0.3921,0.2891,0.3604,0.3194,0.3202,0.3353,0.3568,0.3534,0.3358,0.346,0.3305,0.3547,0.3599
w81.oracleGeneral.bin.zst_5026619,0.5328,0.5985,0.5129,0.5993,0.6941,0.6949,0.6988,0.5321,0.692,0.6004,0.5178,0.5235,0.6943,0.6934,0.5992,0.6687,0.5519,0.6921,0.5322
w63.oracleGeneral.bin.zst_9380316,0.6138,0.6236,0.5234,0.6243,0.6376,0.6601,0.6332,0.5596,0.6395,0.6091,0.5761,0.6246,0.6476,0.6322,0.6102,0.6181,0.602,0.6386,0.6135
w86.oracleGeneral.bin.zst_4749563,0.9277,0.9299,0.9065,0.9293,0.9403,0.9427,0.9353,0.9323,0.9389,0.9301,0.9365,0.9275,0.9411,0.9412,0.9279,0.9312,0.929,0.9338,0.9283
