,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst_6928385,0.0785,0.0774,0.0732,0.0783,0.0807,0.0999,0.0827,0.0734,0.0791,0.0778,0.0763,0.0791,0.0815,0.0794,0.0774,0.0783,0.0784,0.0931,0.0838
w94.oracleGeneral.bin.zst_4118188,0.2718,0.2859,0.201,0.3021,0.2912,0.3067,0.2668,0.21,0.2927,0.2848,0.2453,0.2854,0.2952,0.2869,0.283,0.2702,0.2755,0.2956,0.2713
w105.oracleGeneral.bin.zst_3375344,0.4485,0.5621,0.3539,0.5858,0.5969,0.6457,0.4916,0.409,0.5947,0.53,0.4341,0.3972,0.6277,0.5592,0.4923,0.4921,0.4305,0.594,0.4089
w35.oracleGeneral.bin.zst_15415663,0.053,0.0532,0.0396,0.053,0.052,0.0584,0.0481,0.0414,0.0528,0.0532,0.0438,0.0491,0.0527,0.0526,0.0521,0.0525,0.0532,0.0556,0.0514
w19.oracleGeneral.bin.zst_31116216,0.0782,0.0742,0.0364,0.0717,0.0745,0.0929,0.0588,0.0318,0.0769,0.271,0.038,0.0677,0.076,0.0766,0.0755,0.073,0.0688,0.0762,0.0562
w75.oracleGeneral.bin.zst_6152624,0.0725,0.0714,0.066,0.0715,0.0763,0.09,0.0766,0.0663,0.0754,0.0715,0.0699,0.0734,0.0772,0.0746,0.0712,0.0704,0.0722,0.0847,0.0734
w50.oracleGeneral.bin.zst_13448032,0.1773,0.1851,0.1035,0.1522,0.2007,0.2031,0.1548,0.0967,0.2027,0.1522,0.102,0.1144,0.203,0.1904,0.1496,0.161,0.1504,0.2026,0.1679
w97.oracleGeneral.bin.zst_3768450,0.5376,0.5169,0.4805,0.5664,0.5243,0.5575,0.5102,0.4922,0.5337,0.517,0.5213,0.5263,0.528,0.5276,0.5173,0.5368,0.5402,0.5478,0.5281
w83.oracleGeneral.bin.zst_3880481,0.2673,0.2941,0.2743,0.2952,0.3402,0.3429,0.3081,0.2642,0.3298,0.2947,0.2706,0.2705,0.3415,0.3397,0.2933,0.3177,0.2843,0.3406,0.3063
w81.oracleGeneral.bin.zst_5026619,0.4599,0.5916,0.3763,0.5925,0.6862,0.6877,0.5559,0.4218,0.678,0.5922,0.3872,0.3811,0.6873,0.6845,0.5912,0.662,0.4713,0.686,0.5036
w63.oracleGeneral.bin.zst_9380316,0.553,0.5575,0.5115,0.5577,0.5705,0.5803,0.5497,0.5191,0.5676,0.5578,0.5272,0.5274,0.5772,0.5747,0.5575,0.5652,0.5546,0.5787,0.552
w86.oracleGeneral.bin.zst_4749563,0.9095,0.9148,0.9065,0.9178,0.9201,0.9227,0.9157,0.9133,0.9169,0.9148,0.9222,0.9091,0.9213,0.9213,0.9148,0.9175,0.91,0.9224,0.9095
w60.oracleGeneral.bin.zst_9898835,0.1712,0.1689,0.1444,0.1924,0.4701,0.435,0.2846,0.1484,0.4633,0.1836,0.1802,0.1655,0.4167,0.1812,0.1715,0.245,0.2285,0.2625,0.1656
w30.oracleGeneral.bin.zst_21390010,0.0604,0.0634,0.054,0.0595,0.058,0.0773,0.0659,0.0562,0.072,0.1764,0.0595,0.0619,0.0583,0.058,0.058,0.0596,0.0583,0.0691,0.0682
w102.oracleGeneral.bin.zst_3558215,0.1012,0.1018,0.0914,0.1045,0.1056,0.1265,0.1088,0.0922,0.1151,0.1033,0.1012,0.1003,0.1079,0.1053,0.1005,0.1033,0.1038,0.1166,0.1032
w78.oracleGeneral.bin.zst_5493106,0.1839,0.1798,0.1481,0.1782,0.1839,0.2061,0.1839,0.159,0.1986,0.1854,0.1737,0.1795,0.1741,0.1688,0.1819,0.1818,0.1915,0.196,0.1852
w18.oracleGeneral.bin.zst_22466283,0.315,0.3106,0.1821,0.2931,0.3013,0.3321,0.2814,0.1803,0.3247,0.2594,0.2407,0.3145,0.3029,0.297,0.3023,0.3311,0.3586,0.3205,0.2872
w99.oracleGeneral.bin.zst_3660840,0.3813,0.5924,0.3547,0.5934,0.6263,0.632,0.4862,0.4337,0.6199,0.5944,0.3745,0.3622,0.6309,0.6264,0.5912,0.6168,0.4094,0.6263,0.3809
w03.oracleGeneral.bin.zst_84712978,0.4293,0.5022,0.3494,0.4822,0.4878,0.4836,0.454,0.4687,0.468,0.4414,0.4545,0.4234,0.4838,0.4848,0.4394,0.4393,0.4475,0.441,0.4046
w42.oracleGeneral.bin.zst_16894445,0.2393,0.1915,0.1487,0.1964,0.3951,0.3723,0.2457,0.1518,0.4068,0.2225,0.165,0.189,0.3509,0.1984,0.1916,0.2415,0.3112,0.2564,0.1854
w44.oracleGeneral.bin.zst_12116074,0.6458,0.8299,0.3804,0.8546,0.8551,0.8648,0.5162,0.2209,0.8243,0.8288,0.3259,0.4352,0.8618,0.8564,0.6966,0.696,0.5033,0.6671,0.4937
