,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst_6928385,0.2774,0.2712,0.1972,0.2834,0.3077,0.3627,0.2817,0.2478,0.3199,0.4233,0.2377,0.2613,0.3186,0.2975,0.2732,0.2706,0.2722,0.2857,0.2509
w94.oracleGeneral.bin.zst_4118188,0.9027,0.9642,0.7735,0.942,0.9535,0.9553,0.8769,0.8902,0.9533,0.9686,0.8393,0.8987,0.9541,0.9532,0.9359,0.941,0.8838,0.9452,0.8342
w105.oracleGeneral.bin.zst_3375344,0.7543,0.7632,0.7304,0.7552,0.7927,0.7949,0.8035,0.777,0.7944,0.7605,0.7688,0.7603,0.7924,0.7721,0.7473,0.7477,0.7272,0.7734,0.7647
w35.oracleGeneral.bin.zst_15415663,0.1142,0.1157,0.0887,0.1202,0.1525,0.2569,0.1179,0.0897,0.1603,0.2516,0.0937,0.1107,0.1587,0.1375,0.1116,0.113,0.1167,0.1203,0.1087
w19.oracleGeneral.bin.zst_31116216,0.8075,0.9618,0.7526,0.8694,0.9733,0.9751,0.8131,0.6192,0.971,0.8958,0.5498,0.7991,0.9744,0.9672,0.8253,0.8372,0.7505,0.8575,0.8512
w75.oracleGeneral.bin.zst_6152624,0.2557,0.2663,0.2162,0.2605,0.2779,0.3005,0.2526,0.1929,0.2772,0.2741,0.2102,0.2484,0.2828,0.2659,0.255,0.2546,0.2555,0.2617,0.2461
w50.oracleGeneral.bin.zst_13448032,0.8886,0.9549,0.8369,0.9604,0.9838,0.9839,0.944,0.943,0.9833,0.9621,0.805,0.8899,0.9838,0.9833,0.9611,0.9754,0.8242,0.9799,0.8395
w97.oracleGeneral.bin.zst_3768450,0.694,0.723,0.6463,0.7056,0.7358,0.7549,0.6993,0.6867,0.7344,0.7497,0.6805,0.7016,0.7418,0.7235,0.696,0.6966,0.6936,0.7049,0.6945
w83.oracleGeneral.bin.zst_3880481,0.4775,0.4934,0.4313,0.4862,0.4925,0.4978,0.4612,0.4035,0.494,0.473,0.4429,0.4795,0.4921,0.4872,0.477,0.4745,0.4759,0.4755,0.4683
w81.oracleGeneral.bin.zst_5026619,0.7194,0.7251,0.6673,0.7253,0.7385,0.7451,0.7339,0.6942,0.7364,0.73,0.6803,0.7166,0.7407,0.7325,0.7178,0.7193,0.7063,0.7231,0.7015
w63.oracleGeneral.bin.zst_9380316,0.7915,0.8046,0.7273,0.8024,0.8125,0.8358,0.8085,0.7945,0.8133,0.8252,0.7909,0.8046,0.818,0.8085,0.79,0.7955,0.779,0.7961,0.8048
w86.oracleGeneral.bin.zst_4749563,0.9472,0.9473,0.9256,0.9475,0.9555,0.9562,0.9528,0.95,0.9551,0.9478,0.9527,0.9469,0.9557,0.9545,0.9473,0.9517,0.9454,0.9547,0.9498
w60.oracleGeneral.bin.zst_9898835,0.8435,0.8471,0.7863,0.8464,0.8505,0.8534,0.8424,0.8238,0.8508,0.8681,0.8155,0.851,0.8512,0.8479,0.8434,0.8442,0.8473,0.8464,0.8515
w30.oracleGeneral.bin.zst_21390010,0.5979,0.6543,0.4855,0.6225,0.6698,0.7356,0.6075,0.6054,0.6786,0.9162,0.5771,0.582,0.6804,0.653,0.5899,0.5902,0.6057,0.6026,0.6465
w102.oracleGeneral.bin.zst_3558215,0.2312,0.2496,0.2002,0.2332,0.2494,0.2724,0.2421,0.2381,0.2533,0.3471,0.2276,0.2356,0.2507,0.2424,0.2307,0.233,0.2337,0.2331,0.2476
w78.oracleGeneral.bin.zst_5493106,0.4495,0.4501,0.39,0.4619,0.489,0.5138,0.4689,0.4277,0.491,0.5203,0.4282,0.4455,0.4955,0.4748,0.4449,0.4462,0.4639,0.458,0.4466
w18.oracleGeneral.bin.zst_22466283,0.6963,0.7164,0.651,0.7063,0.7282,0.7412,0.7146,0.6784,0.7263,0.7135,0.678,0.6956,0.7309,0.715,0.696,0.6953,0.6975,0.6998,0.693
w99.oracleGeneral.bin.zst_3660840,0.653,0.6548,0.6268,0.6552,0.6699,0.6715,0.6643,0.645,0.6707,0.6476,0.6321,0.6511,0.6708,0.6696,0.6511,0.6623,0.6406,0.6628,0.6422
w03.oracleGeneral.bin.zst_84712978,0.6062,0.6423,0.5523,0.6121,0.6325,0.6474,0.6209,0.5887,0.6311,0.7271,0.6013,0.6176,0.6325,0.6161,0.6085,0.6093,0.6075,0.6035,0.6046
w42.oracleGeneral.bin.zst_16894445,0.7865,0.7986,0.7102,0.7938,0.8058,0.8125,0.7706,0.7408,0.8047,0.8355,0.744,0.7877,0.8081,0.8024,0.7839,0.7877,0.7796,0.7953,0.7858
w44.oracleGeneral.bin.zst_12116074,0.8998,0.9006,0.8802,0.9008,0.9182,0.9256,0.9083,0.9003,0.9187,0.9496,0.9009,0.9058,0.9203,0.9156,0.9008,0.9002,0.9046,0.9054,0.9078
w98.oracleGeneral.bin.zst_3664418,0.6917,0.7226,0.6422,0.7034,0.7345,0.7535,0.6965,0.6838,0.7329,0.7528,0.6804,0.6997,0.7405,0.7228,0.6934,0.6938,0.691,0.7019,0.6908
w68.oracleGeneral.bin.zst_8875971,0.4536,0.5572,0.3709,0.5105,0.6461,0.664,0.5403,0.4272,0.6564,0.6471,0.429,0.4415,0.6505,0.6331,0.4618,0.4521,0.4565,0.4619,0.4291
w27.oracleGeneral.bin.zst_19501541,0.7186,0.7577,0.6141,0.733,0.7451,0.7618,0.7481,0.7198,0.7483,0.8992,0.7429,0.7684,0.7473,0.7401,0.7189,0.7182,0.7155,0.7182,0.8087
w101.oracleGeneral.bin.zst_3587707,0.6906,0.7197,0.64,0.7025,0.7305,0.7502,0.6956,0.6842,0.7285,0.7467,0.6782,0.6977,0.7368,0.7186,0.6922,0.6923,0.6895,0.7028,0.6923
w28.oracleGeneral.bin.zst_19739621,0.7367,0.7454,0.6129,0.7536,0.783,0.7901,0.678,0.5569,0.7808,0.7875,0.5857,0.7119,0.785,0.782,0.7326,0.7407,0.7096,0.7555,0.7301
w23.oracleGeneral.bin.zst_27914470,0.6459,0.6359,0.4998,0.6632,0.7231,0.7628,0.6608,0.5935,0.7209,0.6844,0.6194,0.636,0.734,0.7162,0.6416,0.6407,0.6378,0.6513,0.6339
w54.oracleGeneral.bin.zst_8832954,0.8458,0.8471,0.8319,0.846,0.8828,0.8857,0.8768,0.8439,0.8805,0.8469,0.8534,0.8554,0.8832,0.8633,0.8458,0.8471,0.8457,0.8662,0.8548
w13.oracleGeneral.bin.zst_39822877,0.433,0.4338,0.3206,0.4073,0.3988,0.4189,0.4293,0.4344,0.425,0.898,0.3968,0.4374,0.3988,0.397,0.4269,0.4317,0.4271,0.4285,0.5364
w22.oracleGeneral.bin.zst_22248591,0.8859,0.8868,0.8675,0.8874,0.8923,0.8961,0.8922,0.8861,0.8924,0.8948,0.8888,0.886,0.8926,0.8921,0.8857,0.8866,0.8864,0.8871,0.8819
w51.oracleGeneral.bin.zst_9551283,0.4379,0.4409,0.392,0.4534,0.4677,0.4809,0.4539,0.4154,0.4697,0.492,0.4324,0.4451,0.4692,0.4645,0.4405,0.4285,0.4393,0.4331,0.4089
w84.oracleGeneral.bin.zst_4814234,0.4352,0.4569,0.3626,0.4457,0.4763,0.5035,0.4274,0.4167,0.4772,0.6133,0.4114,0.4233,0.4818,0.4752,0.4333,0.4327,0.4391,0.4492,0.4329
w37.oracleGeneral.bin.zst_18840688,0.7087,0.7574,0.6157,0.7575,0.7762,0.7938,0.755,0.7333,0.7771,0.7596,0.7336,0.7365,0.787,0.7575,0.7073,0.71,0.717,0.7308,0.7257
w87.oracleGeneral.bin.zst_3788806,0.8556,0.8782,0.7762,0.8479,0.8425,0.8379,0.8386,0.8114,0.8435,0.9482,0.8756,0.8926,0.8368,0.8379,0.8569,0.8559,0.8386,0.8543,0.8931
w34.oracleGeneral.bin.zst_19553551,0.6258,0.7503,0.5026,0.6562,0.7232,0.7364,0.6389,0.5059,0.7406,0.7468,0.5296,0.6366,0.7298,0.7117,0.6198,0.6232,0.609,0.6342,0.6549
w66.oracleGeneral.bin.zst_9169631,0.4777,0.4768,0.4501,0.4976,0.5225,0.548,0.5147,0.4512,0.5269,0.5277,0.4457,0.4733,0.5251,0.4967,0.4758,0.4748,0.486,0.479,0.4713
