,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w84.oracleGeneral.bin.zst_4814234,0.2101,0.2024,0.1496,0.2174,0.2398,0.256,0.2008,0.1619,0.2467,0.1809,0.2032,0.2325,0.202,0.2053,0.2268,0.2147,0.2094
w37.oracleGeneral.bin.zst_18840688,0.3185,0.3259,0.2715,0.342,0.3915,0.4347,0.3786,0.3203,0.3922,0.3124,0.3138,0.3808,0.3294,0.34,0.3322,0.3816,0.3125
w87.oracleGeneral.bin.zst_3788806,0.6911,0.6849,0.6231,0.6992,0.7111,0.7257,0.6952,0.638,0.7068,0.6964,0.6914,0.7152,0.6837,0.69,0.6949,0.7042,0.6993
w34.oracleGeneral.bin.zst_19553551,0.3954,0.4837,0.342,0.4042,0.4153,0.4513,0.3815,0.3192,0.4401,0.3423,0.4075,0.4198,0.3855,0.3923,0.3759,0.4394,0.4245
w66.oracleGeneral.bin.zst_9169631,0.2328,0.4598,0.1163,0.2875,0.4251,0.4735,0.1467,0.0508,0.3652,0.0696,0.1513,0.4544,0.2427,0.24,0.1306,0.3243,0.1289
w06.oracleGeneral.bin.zst_69392150,0.0272,0.0275,0.0245,0.0274,0.0281,0.0331,0.0334,0.0257,0.0293,0.028,0.0282,0.028,0.0267,0.0266,0.0271,0.0318,0.0304
w91.oracleGeneral.bin.zst_4316605,0.1995,0.1961,0.142,0.1993,0.2433,0.2629,0.2551,0.1583,0.2653,0.1837,0.1872,0.2298,0.1958,0.2219,0.2118,0.2336,0.1806
w79.oracleGeneral.bin.zst_5411394,0.8707,0.8858,0.853,0.8865,0.887,0.9045,0.8696,0.8547,0.8861,0.8733,0.8697,0.8877,0.8853,0.8867,0.8738,0.8915,0.869
w41.oracleGeneral.bin.zst_17004738,0.0597,0.0657,0.0458,0.0653,0.068,0.0791,0.0635,0.0529,0.0701,0.0537,0.0589,0.0658,0.0611,0.0611,0.0608,0.0647,0.0551
w72.oracleGeneral.bin.zst_6407185,0.1809,0.1873,0.1135,0.1904,0.2025,0.2348,0.181,0.1247,0.1943,0.1408,0.1609,0.2003,0.1732,0.1723,0.1661,0.1794,0.159
w10.oracleGeneral.bin.zst_48342350,0.478,0.5039,0.3553,0.4524,0.5081,0.5601,0.4312,0.3044,0.5326,0.3096,0.4354,0.5515,0.465,0.4856,0.4358,0.5314,0.405
w08.oracleGeneral.bin.zst_44464937,0.6065,0.708,0.4298,0.7318,0.7899,0.8081,0.6737,0.3702,0.8004,0.3717,0.5806,0.8055,0.6658,0.67,0.4445,0.7761,0.3902
w103.oracleGeneral.bin.zst_3442094,0.1924,0.1962,0.1439,0.1949,0.1998,0.2055,0.1838,0.1469,0.2046,0.1719,0.1899,0.1969,0.1919,0.1942,0.1848,0.1925,0.177
w58.oracleGeneral.bin.zst_10530695,0.2443,0.252,0.157,0.2471,0.3151,0.3261,0.2318,0.154,0.3121,0.1822,0.2263,0.3101,0.2489,0.2533,0.2337,0.2558,0.2368
w52.oracleGeneral.bin.zst_11451546,0.1065,0.116,0.0783,0.115,0.1302,0.1681,0.1259,0.0843,0.1247,0.0954,0.1001,0.1194,0.1052,0.1071,0.1059,0.1122,0.0977
w16.oracleGeneral.bin.zst_26702188,0.6464,0.6715,0.5362,0.6979,0.7346,0.7459,0.6911,0.6928,0.7309,0.6328,0.5947,0.7334,0.6647,0.6924,0.5934,0.7158,0.5631
w40.oracleGeneral.bin.zst_17657232,0.0894,0.1009,0.0664,0.0966,0.0946,0.1027,0.1006,0.0936,0.0961,0.0844,0.0893,0.0945,0.0898,0.0886,0.0922,0.0889,0.0822
w25.oracleGeneral.bin.zst_26569398,0.188,0.2029,0.1399,0.1704,0.1673,0.2138,0.2246,0.1802,0.1766,0.1811,0.1998,0.1651,0.1886,0.1793,0.1928,0.1816,0.1976
