,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w54.oracleGeneral.bin.zst_8832954,0.9707,0.9698,0.9566,0.969,0.9705,0.9719,0.9684,0.9698,0.9689,0.9698,0.9676,0.9717,0.9712,0.9712,0.9683,0.9687,0.9715,0.9696,0.9713
w13.oracleGeneral.bin.zst_39822877,0.1914,0.1949,0.1653,0.1943,0.1977,0.1986,0.2101,0.1898,0.1986,0.2322,0.2101,0.1952,0.1969,0.1863,0.1939,0.1935,0.1899,0.1958,0.1908
w22.oracleGeneral.bin.zst_22248591,0.6106,0.7097,0.5599,0.71,0.7203,0.7268,0.7067,0.7241,0.7176,0.7099,0.7367,0.5938,0.7245,0.7231,0.7077,0.7119,0.6341,0.7199,0.6191
w51.oracleGeneral.bin.zst_9551283,0.1352,0.1329,0.1001,0.1424,0.1425,0.1934,0.2069,0.2004,0.1675,0.1498,0.24,0.1312,0.1447,0.1436,0.1343,0.1406,0.1562,0.1411,0.1306
w84.oracleGeneral.bin.zst_4814234,0.2051,0.2055,0.1614,0.2171,0.221,0.2339,0.2245,0.211,0.222,0.2421,0.2603,0.2132,0.2235,0.2183,0.2042,0.2036,0.2104,0.2127,0.2271
w37.oracleGeneral.bin.zst_18840688,0.478,0.4829,0.4206,0.5029,0.5446,0.5732,0.5441,0.5126,0.5441,0.4948,0.5131,0.4785,0.5578,0.5368,0.4885,0.4995,0.4952,0.5347,0.4784
w87.oracleGeneral.bin.zst_3788806,0.4435,0.4438,0.3762,0.4788,0.5051,0.5339,0.5192,0.5278,0.4983,0.4352,0.5862,0.4594,0.5212,0.5149,0.4381,0.4545,0.473,0.4935,0.5139
w34.oracleGeneral.bin.zst_19553551,0.4732,0.6287,0.3369,0.5527,0.5728,0.5927,0.527,0.5502,0.5804,0.5946,0.6261,0.5061,0.5906,0.5725,0.501,0.5035,0.5024,0.5739,0.5146
w66.oracleGeneral.bin.zst_9169631,0.3677,0.7072,0.1385,0.4069,0.6862,0.727,0.3838,0.3051,0.5859,0.6359,0.3426,0.197,0.707,0.7041,0.3836,0.3796,0.3343,0.4734,0.234
w06.oracleGeneral.bin.zst_69392150,0.0268,0.0271,0.0237,0.0269,0.0261,0.0295,0.0354,0.0282,0.0282,0.0331,0.0374,0.0291,0.0263,0.026,0.0262,0.0261,0.0269,0.0285,0.0307
w91.oracleGeneral.bin.zst_4316605,0.2741,0.2747,0.2307,0.2795,0.3129,0.3326,0.3484,0.3021,0.328,0.3009,0.3236,0.274,0.3185,0.301,0.2699,0.2838,0.2812,0.3054,0.2905
w79.oracleGeneral.bin.zst_5411394,0.9122,0.9316,0.893,0.9318,0.9321,0.9374,0.9274,0.9275,0.9315,0.9316,0.9402,0.9174,0.9324,0.9324,0.9316,0.9322,0.9137,0.9337,0.9175
w41.oracleGeneral.bin.zst_17004738,0.1282,0.1412,0.0827,0.139,0.1548,0.1676,0.1536,0.1484,0.1578,0.1536,0.1472,0.1128,0.151,0.1431,0.1281,0.1258,0.1384,0.1294,0.1058
w72.oracleGeneral.bin.zst_6407185,0.2653,0.2734,0.1634,0.2805,0.3054,0.3615,0.3303,0.2949,0.308,0.2816,0.3748,0.246,0.3371,0.2959,0.2593,0.2553,0.2627,0.2584,0.2396
w10.oracleGeneral.bin.zst_48342350,0.6425,0.7133,0.4188,0.6458,0.7871,0.8201,0.667,0.7256,0.7763,0.7411,0.663,0.5803,0.8121,0.8104,0.6714,0.6731,0.6585,0.6915,0.6174
w08.oracleGeneral.bin.zst_44464937,0.7285,0.7526,0.5391,0.8002,0.8487,0.8592,0.8158,0.8213,0.8571,0.7804,0.8128,0.7177,0.8578,0.8575,0.7455,0.7445,0.7205,0.7997,0.6676
w103.oracleGeneral.bin.zst_3442094,0.243,0.2508,0.1829,0.2476,0.252,0.2594,0.2722,0.2709,0.2593,0.2574,0.3688,0.2476,0.2498,0.2452,0.2414,0.246,0.237,0.244,0.2321
w58.oracleGeneral.bin.zst_10530695,0.3222,0.3356,0.2063,0.3299,0.4267,0.4294,0.3586,0.3127,0.4126,0.4209,0.37,0.2782,0.4399,0.4206,0.3043,0.3078,0.3226,0.3259,0.3024
w52.oracleGeneral.bin.zst_11451546,0.2044,0.229,0.1478,0.2342,0.2526,0.3027,0.2699,0.2347,0.2544,0.1981,0.2769,0.1926,0.2592,0.2373,0.2064,0.2061,0.2208,0.2233,0.1893
w16.oracleGeneral.bin.zst_26702188,0.5448,0.5555,0.465,0.5711,0.6139,0.6352,0.6275,0.6308,0.6058,0.572,0.7075,0.529,0.6238,0.6108,0.5546,0.5659,0.5269,0.5995,0.5228
w40.oracleGeneral.bin.zst_17657232,0.0836,0.0925,0.0575,0.0937,0.0973,0.1208,0.1532,0.1621,0.0993,0.1296,0.1192,0.0864,0.0965,0.0951,0.0845,0.0831,0.0919,0.0847,0.0735
