 FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
P1 0.625 0.555 0.560 0.470 0.179 0.458 0.239 0.169
P3 0.809 0.828 0.775 0.544 0.186 0.570 0.461 0.250
P5 0.845 0.854 0.809 0.639 0.259 0.600 0.569 0.356
P10 0.899 0.890 0.879 0.741 0.559 0.735 0.693 0.581
P30 0.965 0.968 0.958 0.920 0.830 0.895 0.895 0.885
P50 0.986 0.992 0.985 0.969 0.934 0.954 0.953 0.949
