policy P1 P5 P10 P50 average
FlexCache 0.883 0.950 0.974 0.996 0.989
S3FIFO 0.846 0.939 0.964 0.996 0.985
ARC 0.675 0.943 0.966 0.998 0.983
Cacheus 0.672 0.927 0.951 0.995 0.980
LeCaR 0.640 0.938 0.963 0.998 0.980
LIRS 0.947 0.972 0.979 0.994 0.991
WTinyLFU 0.905 0.951 0.967 0.992 0.986
GDSF 0.629 0.927 0.962 0.996 0.978
Hyperbolic 0.628 0.911 0.944 0.990 0.971
LHD 0.810 0.940 0.968 0.996 0.984
S4LRU 0.863 0.936 0.959 0.997 0.986
TwoQ 0.807 0.920 0.945 0.986 0.973
Clock 0.581 0.928 0.956 0.996 0.976
FIFO 0.665 0.881 0.911 0.967 0.951
FIFO-Merge 0.846 0.917 0.939 0.981 0.971
