cachesize FlexCache S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF Hyperbolic LHD S4LRU TwoQ Clock FIFO FIFO-Merge
0.003 0.986 0.999 0.965 0.909 0.814 0.966 0.987 0.961 0.840 0.983 0.970 0.967 0.834 0.747 0.841
0.010 0.985 0.994 0.971 0.928 0.872 0.972 0.994 0.973 0.897 0.986 0.974 0.968 0.887 0.803 0.888
0.030 0.988 0.995 0.981 0.950 0.927 0.982 0.995 0.987 0.942 0.993 0.983 0.974 0.932 0.857 0.928
0.100 0.995 0.998 0.993 0.985 0.975 0.995 1.000 0.993 0.976 0.980 0.993 0.985 0.972 0.922 0.967
0.200 0.998 0.999 0.998 0.989 0.987 0.999 0.999 0.995 0.987 0.976 0.996 0.989 0.986 0.946 0.980
0.400 0.999 0.998 1.000 0.998 0.996 0.999 0.998 0.998 0.996 0.990 0.998 0.988 0.996 0.973 0.992
