policy P1 P5 P10 P50 average
FlexCache 0.882 0.911 0.927 0.986 0.974
S3FIFO 0.823 0.911 0.928 0.986 0.971
ARC 0.735 0.891 0.914 0.984 0.964
Cacheus 0.692 0.862 0.892 0.981 0.952
LeCaR 0.656 0.846 0.880 0.980 0.949
LIRS 0.896 0.922 0.938 0.987 0.978
WTinyLFU 0.868 0.939 0.959 1.000 0.986
GDSF 0.666 0.834 0.864 0.968 0.941
Hyperbolic 0.636 0.820 0.851 0.958 0.930
LHD 0.783 0.874 0.905 0.986 0.962
S4LRU 0.785 0.831 0.852 0.973 0.949
TwoQ 0.736 0.909 0.938 0.988 0.970
Clock 0.640 0.830 0.863 0.969 0.940
FIFO 0.606 0.810 0.845 0.950 0.923
FIFO-Merge 0.717 0.823 0.847 0.956 0.932
QDLP 0.835 0.901 0.918 0.985 0.969
