cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
0.003 0.994 0.992 0.987 0.956 0.827 0.996 0.912 0.875 0.988 0.758
0.010 0.990 0.987 0.989 0.985 0.908 0.998 0.950 0.934 0.990 0.897
0.030 0.962 0.930 0.935 0.933 0.895 0.969 0.954 0.891 0.935 0.911
0.100 0.948 0.867 0.840 0.810 0.793 0.985 0.965 0.782 0.843 0.862
0.200 0.951 0.923 0.807 0.787 0.783 0.993 0.956 0.785 0.825 0.859
0.400 0.935 0.916 0.779 0.870 0.802 0.995 0.979 0.807 0.804 0.898
