policy P1 P5 P10 P50 average
FlexCache 0.857 0.913 0.939 0.992 0.979
S3FIFO 0.815 0.911 0.937 0.993 0.976
ARC 0.717 0.896 0.929 0.996 0.971
Cacheus 0.746 0.898 0.929 0.992 0.970
LeCaR 0.666 0.904 0.933 0.995 0.971
LIRS 0.871 0.929 0.956 0.992 0.983
WTinyLFU 0.933 0.970 0.979 0.999 0.992
GDSF 0.688 0.857 0.901 0.989 0.960
Hyperbolic 0.696 0.838 0.875 0.977 0.950
LHD 0.825 0.909 0.939 0.993 0.975
S4LRU 0.805 0.872 0.903 0.990 0.969
TwoQ 0.784 0.917 0.938 0.985 0.969
Clock 0.660 0.849 0.903 0.990 0.959
FIFO 0.618 0.874 0.897 0.970 0.946
FIFO-Merge 0.782 0.847 0.880 0.974 0.953
