policy P1 P5 P10 P50 average
FlexCache 0.876 0.906 0.921 0.989 0.974
S3FIFO 0.739 0.904 0.924 0.988 0.969
ARC 0.685 0.887 0.901 0.991 0.962
Cacheus 0.765 0.879 0.901 0.986 0.961
LeCaR 0.625 0.819 0.871 0.987 0.949
LIRS 0.894 0.914 0.930 0.989 0.978
WTinyLFU 0.804 0.908 0.939 0.993 0.974
GDSF 0.609 0.796 0.870 0.976 0.943
Hyperbolic 0.662 0.816 0.855 0.956 0.930
LHD 0.713 0.879 0.916 0.983 0.964
S4LRU 0.772 0.827 0.844 0.978 0.951
TwoQ 0.677 0.883 0.901 0.982 0.959
Clock 0.588 0.796 0.857 0.973 0.938
FIFO 0.580 0.774 0.824 0.940 0.910
FIFO-Merge 0.774 0.840 0.851 0.951 0.936
QDLP 0.755 0.903 0.917 0.991 0.969
