policy P1 P5 P10 P50 average
FlexCache 0.902 0.967 0.979 0.999 0.992
S3FIFO 0.886 0.968 0.984 0.998 0.992
ARC 0.862 0.944 0.963 0.997 0.987
Cacheus 0.800 0.931 0.951 0.994 0.980
LeCaR 0.678 0.882 0.919 0.987 0.962
LIRS 0.849 0.909 0.951 0.986 0.976
WTinyLFU 0.675 0.795 0.869 0.956 0.934
GDSF 0.729 0.887 0.926 0.986 0.966
Hyperbolic 0.669 0.851 0.896 0.970 0.947
LHD 0.826 0.917 0.939 0.989 0.976
S4LRU 0.763 0.899 0.938 0.990 0.972
TwoQ 0.851 0.953 0.977 0.998 0.989
Clock 0.674 0.864 0.914 0.980 0.956
FIFO 0.622 0.816 0.862 0.937 0.917
FIFO-Merge 0.711 0.870 0.907 0.966 0.950
QDLP 0.873 0.962 0.976 0.998 0.990
