policy P1 P5 P10 P50 average
FlexCache 0.883 0.913 0.927 0.986 0.974
S3FIFO 0.868 0.915 0.930 0.986 0.973
ARC 0.823 0.896 0.917 0.984 0.966
Cacheus 0.749 0.866 0.891 0.981 0.952
LeCaR 0.716 0.858 0.884 0.979 0.953
LIRS 0.901 0.924 0.938 0.987 0.978
WTinyLFU 0.889 0.947 0.965 1.000 0.988
GDSF 0.716 0.841 0.865 0.967 0.943
Hyperbolic 0.685 0.823 0.852 0.959 0.932
LHD 0.816 0.877 0.905 0.987 0.963
S4LRU 0.799 0.834 0.852 0.971 0.948
TwoQ 0.816 0.926 0.944 0.989 0.975
Clock 0.715 0.841 0.868 0.969 0.943
FIFO 0.674 0.821 0.852 0.952 0.928
FIFO-Merge 0.767 0.824 0.848 0.956 0.933
QDLP 0.864 0.902 0.918 0.985 0.970
