cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU
0.003 0.982 0.000 0.972 0.957 0.926 0.953 0.000
0.010 0.992 0.986 0.980 0.974 0.955 0.976 0.000
0.030 0.985 0.977 0.969 0.963 0.949 0.978 0.000
0.100 0.980 0.973 0.962 0.955 0.949 0.976 0.982
0.200 0.974 0.973 0.966 0.952 0.953 0.978 0.988
0.400 0.978 0.976 0.972 0.971 0.973 0.982 0.994
