cachesize FlexCache S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF Hyperbolic LHD S4LRU TwoQ Clock FIFO FIFO-Merge
0.003 0.971 0.976 0.968 0.933 0.861 0.912 0.880 0.893 0.853 0.905 0.900 0.961 0.853 0.814 0.860
0.010 0.971 0.962 0.954 0.933 0.847 0.929 0.889 0.870 0.834 0.905 0.896 0.940 0.838 0.796 0.836
0.030 0.976 0.928 0.927 0.909 0.820 0.951 0.933 0.847 0.816 0.908 0.912 0.901 0.814 0.783 0.829
0.100 0.965 0.933 0.896 0.887 0.811 0.965 0.958 0.853 0.831 0.916 0.935 0.894 0.804 0.771 0.844
0.200 0.966 0.914 0.909 0.892 0.846 0.975 0.971 0.861 0.845 0.923 0.942 0.884 0.842 0.807 0.861
0.400 0.966 0.919 0.890 0.886 0.856 0.985 0.976 0.872 0.870 0.939 0.950 0.881 0.854 0.823 0.906
