policy P1 P5 P10 P50 average
FlexCache 0.682 0.820 0.926 0.983 0.965
S3FIFO 0.229 0.749 0.848 0.983 0.934
ARC 0.123 0.677 0.829 0.970 0.895
Cacheus 0.037 0.696 0.825 0.951 0.887
LeCaR 0.035 0.498 0.668 0.924 0.811
LIRS 0.730 0.850 0.890 0.982 0.965
WTinyLFU 0.664 0.817 0.851 0.984 0.957
GDSF 0.100 0.564 0.701 0.936 0.853
Hyperbolic 0.141 0.516 0.651 0.915 0.831
LHD 0.620 0.722 0.791 0.946 0.917
S4LRU 0.464 0.785 0.849 0.960 0.934
TwoQ 0.184 0.657 0.766 0.947 0.895
Clock 0.042 0.499 0.624 0.918 0.804
FIFO 0.033 0.461 0.630 0.857 0.770
FIFO-Merge 0.188 0.574 0.672 0.893 0.844
QDLP 0.279 0.747 0.870 0.979 0.941
