policy P1 P5 P10 P50 average
FlexCache 0.880 0.939 0.954 0.996 0.984
S3FIFO 0.807 0.930 0.950 0.996 0.979
ARC 0.742 0.911 0.938 0.992 0.971
Cacheus 0.714 0.877 0.922 0.989 0.964
LeCaR 0.565 0.805 0.891 0.978 0.942
LIRS 0.844 0.919 0.939 0.991 0.976
WTinyLFU 0.748 0.856 0.914 0.991 0.968
GDSF 0.603 0.818 0.896 0.969 0.943
Hyperbolic 0.566 0.790 0.868 0.962 0.931
LHD 0.768 0.884 0.925 0.986 0.967
S4LRU 0.637 0.853 0.907 0.975 0.954
TwoQ 0.731 0.909 0.943 0.991 0.973
Clock 0.517 0.793 0.875 0.973 0.937
FIFO 0.514 0.752 0.839 0.948 0.913
FIFO-Merge 0.628 0.810 0.878 0.964 0.938
