cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
0.003 0.998 0.999 0.991 0.986 0.966 0.962 0.909 0.990
0.010 0.997 0.999 0.989 0.981 0.969 0.963 0.940 0.988
0.030 0.995 1.000 0.985 0.980 0.967 0.963 0.945 0.984
0.100 0.999 0.999 0.985 0.979 0.964 0.975 0.955 0.979
0.200 0.999 0.996 0.998 0.988 0.979 0.986 0.970 0.987
0.400 0.997 0.994 1.000 0.988 0.996 0.992 0.986 0.998
