cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
0.003 0.881 0.816 0.884 0.853 0.774 0.800 0.790 0.801 0.887 0.706
0.010 0.929 0.846 0.846 0.838 0.762 0.873 0.854 0.782 0.849 0.709
0.030 0.954 0.905 0.799 0.764 0.746 0.913 0.899 0.748 0.807 0.744
0.100 0.945 0.792 0.858 0.817 0.704 0.906 0.903 0.716 0.863 0.812
0.200 0.942 0.716 0.790 0.746 0.640 0.932 0.929 0.665 0.790 0.846
0.400 0.928 0.917 0.866 0.918 0.834 0.974 0.974 0.812 0.857 0.901
