policy P1 P5 P10 P50 average
FlexCache 0.839 0.923 0.963 0.995 0.983
S3FIFO 0.866 0.939 0.971 0.996 0.987
ARC 0.788 0.934 0.950 0.994 0.978
Cacheus 0.691 0.892 0.917 0.986 0.963
LeCaR 0.513 0.811 0.872 0.968 0.933
LIRS 0.810 0.866 0.898 0.963 0.953
WTinyLFU 0.466 0.614 0.684 0.900 0.851
GDSF 0.652 0.842 0.876 0.971 0.942
Hyperbolic 0.477 0.773 0.823 0.948 0.910
LHD 0.804 0.888 0.910 0.975 0.959
S4LRU 0.693 0.848 0.900 0.970 0.950
TwoQ 0.787 0.921 0.955 0.996 0.982
Clock 0.476 0.780 0.860 0.961 0.925
FIFO 0.444 0.707 0.772 0.888 0.859
FIFO-Merge 0.557 0.784 0.838 0.942 0.913
