policy P1 P5 P10 P50 average
FlexCache 0.573 0.914 0.947 0.989 0.971
S3FIFO 0.439 0.765 0.937 0.995 0.962
ARC 0.472 0.866 0.914 0.978 0.954
Cacheus 0.477 0.768 0.872 0.962 0.933
LeCaR 0.140 0.399 0.688 0.932 0.847
LIRS 0.362 0.767 0.849 0.959 0.929
WTinyLFU 0.206 0.510 0.738 0.967 0.889
GDSF 0.164 0.432 0.735 0.955 0.870
Hyperbolic 0.142 0.394 0.683 0.921 0.834
LHD 0.332 0.674 0.817 0.944 0.905
S4LRU 0.305 0.614 0.739 0.957 0.896
TwoQ 0.407 0.767 0.847 0.989 0.940
Clock 0.142 0.380 0.702 0.920 0.838
FIFO 0.134 0.372 0.587 0.883 0.796
FIFO-Merge 0.155 0.448 0.682 0.905 0.836
