policy P1 P5 P10 P50 average
FlexCache 0.782 0.909 0.937 0.988 0.976
S3FIFO 0.196 0.689 0.862 0.986 0.928
ARC 0.268 0.680 0.827 0.974 0.927
Cacheus 0.287 0.630 0.848 0.960 0.909
LeCaR 0.058 0.374 0.629 0.921 0.820
LIRS 0.683 0.836 0.878 0.969 0.951
WTinyLFU 0.523 0.753 0.798 0.972 0.933
GDSF 0.083 0.463 0.697 0.936 0.847
Hyperbolic 0.062 0.390 0.664 0.922 0.816
LHD 0.424 0.723 0.807 0.939 0.908
S4LRU 0.222 0.685 0.821 0.954 0.912
TwoQ 0.141 0.653 0.812 0.966 0.901
Clock 0.058 0.374 0.619 0.917 0.814
FIFO 0.054 0.352 0.606 0.875 0.783
FIFO-Merge 0.193 0.453 0.641 0.903 0.829
