policy P1 P5 P10 P50 average
FlexCache 0.847 0.958 0.975 0.998 0.989
S3FIFO 0.807 0.957 0.978 0.998 0.987
ARC 0.774 0.934 0.958 0.997 0.980
Cacheus 0.727 0.904 0.942 0.992 0.973
LeCaR 0.559 0.810 0.902 0.984 0.948
LIRS 0.797 0.884 0.942 0.985 0.971
WTinyLFU 0.665 0.791 0.866 0.959 0.935
GDSF 0.603 0.827 0.907 0.983 0.953
Hyperbolic 0.547 0.787 0.879 0.965 0.934
LHD 0.748 0.894 0.929 0.988 0.969
S4LRU 0.645 0.860 0.925 0.988 0.963
TwoQ 0.767 0.936 0.965 0.997 0.982
Clock 0.557 0.792 0.895 0.977 0.943
FIFO 0.521 0.738 0.838 0.934 0.904
FIFO-Merge 0.634 0.807 0.888 0.964 0.939
