policy P1 P5 P10 P50 average
FlexCache 0.892 0.941 0.956 0.997 0.985
S3FIFO 0.844 0.934 0.951 0.996 0.982
ARC 0.781 0.917 0.943 0.993 0.974
Cacheus 0.740 0.892 0.931 0.991 0.969
LeCaR 0.664 0.855 0.913 0.980 0.955
LIRS 0.865 0.923 0.941 0.992 0.978
WTinyLFU 0.755 0.870 0.922 0.991 0.970
GDSF 0.667 0.859 0.911 0.972 0.953
Hyperbolic 0.652 0.827 0.897 0.966 0.943
LHD 0.814 0.908 0.937 0.987 0.973
S4LRU 0.722 0.878 0.920 0.978 0.961
TwoQ 0.788 0.920 0.948 0.993 0.978
Clock 0.643 0.838 0.903 0.976 0.949
FIFO 0.618 0.805 0.876 0.951 0.927
FIFO-Merge 0.709 0.848 0.901 0.967 0.947
