policy P1 P5 P10 P50 average
FlexCache 0.677 0.873 0.952 0.991 0.975
S3FIFO 0.558 0.812 0.939 0.993 0.963
ARC 0.381 0.783 0.867 0.987 0.940
Cacheus 0.553 0.771 0.808 0.982 0.937
LeCaR 0.223 0.594 0.737 0.958 0.881
LIRS 0.629 0.826 0.869 0.983 0.952
WTinyLFU 0.652 0.795 0.874 0.982 0.950
GDSF 0.242 0.644 0.759 0.956 0.884
Hyperbolic 0.244 0.603 0.737 0.946 0.872
LHD 0.560 0.766 0.827 0.973 0.936
S4LRU 0.450 0.711 0.782 0.970 0.913
TwoQ 0.414 0.770 0.926 0.989 0.946
Clock 0.224 0.595 0.736 0.956 0.878
FIFO 0.218 0.575 0.700 0.918 0.843
FIFO-Merge 0.314 0.666 0.732 0.954 0.885
QDLP 0.575 0.806 0.926 0.989 0.959
