cachesize FlexCache S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF Hyperbolic LHD S4LRU TwoQ Clock FIFO FIFO-Merge
0.003 0.982 1.000 0.979 0.957 0.876 0.965 0.924 0.929 0.883 0.947 0.947 0.978 0.884 0.821 0.883
0.010 0.973 0.993 1.000 0.929 0.821 0.991 0.888 0.882 0.825 0.913 0.960 0.959 0.825 0.776 0.837
0.030 0.984 1.000 0.983 0.926 0.796 0.978 0.907 0.893 0.794 0.890 0.932 0.972 0.808 0.758 0.809
0.100 0.955 0.962 0.984 0.883 0.857 1.000 0.963 0.910 0.871 0.879 0.939 0.963 0.871 0.787 0.870
0.200 0.999 0.999 0.993 0.992 0.986 0.991 0.965 0.981 0.924 0.936 0.972 0.992 0.980 0.885 0.926
0.400 0.994 0.994 0.996 0.989 0.988 0.994 0.976 0.990 0.986 0.968 0.995 0.979 0.988 0.938 0.975
