policy P1 P5 P10 P50 average
FlexCache 0.879 0.926 0.934 0.982 0.973
S3FIFO 0.738 0.908 0.921 0.984 0.970
ARC 0.695 0.857 0.889 0.987 0.958
Cacheus 0.696 0.866 0.885 0.981 0.955
LeCaR 0.650 0.780 0.837 0.968 0.932
LIRS 0.858 0.930 0.940 0.988 0.978
WTinyLFU 0.746 0.864 0.911 0.990 0.965
GDSF 0.655 0.778 0.829 0.952 0.923
Hyperbolic 0.591 0.771 0.832 0.936 0.910
LHD 0.750 0.834 0.903 0.976 0.955
S4LRU 0.656 0.829 0.864 0.966 0.937
TwoQ 0.710 0.877 0.894 0.978 0.957
Clock 0.609 0.764 0.817 0.957 0.918
FIFO 0.549 0.701 0.739 0.921 0.890
FIFO-Merge 0.693 0.801 0.842 0.946 0.919
