policy P1 P5 P10 P50 average
FlexCache 0.761 0.880 0.902 0.981 0.966
S3FIFO 0.146 0.616 0.795 0.976 0.914
ARC 0.164 0.653 0.737 0.977 0.909
Cacheus 0.189 0.653 0.693 0.951 0.892
LeCaR 0.087 0.506 0.564 0.941 0.846
LIRS 0.765 0.863 0.928 0.992 0.975
WTinyLFU 0.785 0.874 0.909 0.992 0.971
GDSF 0.098 0.533 0.619 0.955 0.861
Hyperbolic 0.099 0.553 0.578 0.934 0.845
LHD 0.689 0.732 0.780 0.959 0.923
S4LRU 0.685 0.804 0.847 0.966 0.942
TwoQ 0.133 0.569 0.715 0.961 0.884
Clock 0.089 0.496 0.567 0.942 0.842
FIFO 0.086 0.472 0.548 0.897 0.807
FIFO-Merge 0.327 0.594 0.656 0.914 0.861
