cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
0.003 0.994 1.000 0.906 0.937 0.861 0.896 0.797 0.931 0.923 0.708
0.010 1.000 0.999 0.932 0.956 0.925 0.945 0.830 0.960 0.941 0.838
0.030 1.000 0.996 0.963 0.980 0.970 0.968 0.865 0.986 0.969 0.890
0.100 0.999 0.997 0.987 0.988 0.991 0.977 0.906 0.999 0.988 0.960
0.200 0.997 0.997 0.995 0.998 0.995 0.980 0.939 1.000 0.996 0.982
0.400 0.997 0.999 1.000 0.997 0.998 0.985 0.958 1.000 0.999 0.993
