cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
0.003 0.968 0.968 0.954 0.946 0.904 0.942 0.919 0.914
0.010 0.975 0.963 0.940 0.937 0.877 0.952 0.950 0.881
0.030 0.974 0.971 0.954 0.945 0.885 0.967 0.961 0.899
0.100 0.973 0.970 0.958 0.955 0.932 0.978 0.965 0.923
0.200 0.974 0.969 0.962 0.961 0.949 0.978 0.974 0.943
0.400 0.989 0.985 0.982 0.979 0.980 0.991 0.986 0.978
