policy P1 P5 P10 P50 average
FlexCache 0.858 0.911 0.936 0.991 0.978
S3FIFO 0.870 0.911 0.936 0.992 0.976
ARC 0.797 0.897 0.927 0.995 0.972
Cacheus 0.807 0.898 0.928 0.991 0.971
LeCaR 0.795 0.907 0.931 0.994 0.973
LIRS 0.870 0.923 0.950 0.991 0.982
WTinyLFU 0.942 0.976 0.981 1.000 0.994
GDSF 0.786 0.857 0.896 0.987 0.961
Hyperbolic 0.786 0.838 0.872 0.974 0.949
LHD 0.846 0.910 0.938 0.993 0.975
S4LRU 0.804 0.870 0.898 0.987 0.967
TwoQ 0.845 0.922 0.939 0.985 0.971
Clock 0.773 0.849 0.899 0.988 0.960
FIFO 0.761 0.878 0.897 0.970 0.949
FIFO-Merge 0.795 0.845 0.876 0.973 0.952
QDLP 0.849 0.904 0.937 0.993 0.976
