policy P1 P5 P10 P50 average
FlexCache 0.795 0.808 0.892 0.995 0.969
S3FIFO 0.589 0.885 0.948 0.996 0.970
ARC 0.584 0.781 0.857 0.993 0.956
Cacheus 0.616 0.777 0.813 0.989 0.948
LeCaR 0.454 0.728 0.780 0.966 0.911
LIRS 0.672 0.777 0.812 0.977 0.943
WTinyLFU 0.555 0.712 0.823 0.955 0.919
GDSF 0.471 0.718 0.789 0.971 0.918
Hyperbolic 0.360 0.633 0.775 0.950 0.892
LHD 0.596 0.812 0.846 0.975 0.943
S4LRU 0.551 0.790 0.828 0.975 0.933
TwoQ 0.525 0.840 0.914 0.992 0.957
Clock 0.351 0.651 0.775 0.960 0.899
FIFO 0.275 0.584 0.698 0.885 0.834
FIFO-Merge 0.476 0.687 0.772 0.940 0.895
